                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0423,                 5.4783,                 3.8109,                 0.6352,                0.09782,                0.06105,                0.01524,                 2.2084,                 3.7077,                 3.2485,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9593,                 3.5177,                 2.6773,                0.40838,                 0.1871,                0.14522,                0.05443,                  1.846,                 3.2081,                 2.8103,              0.0066272,              0.0066272,              0.0066272
                      3,                  1.583,                 2.5352,                 2.2473,                0.52293,                0.37242,                0.38812,                0.22028,                 1.4325,                 2.0217,                 2.3213,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.448,                 2.0926,                 2.0739,                0.58782,                 0.4375,                0.47988,                0.27793,                 1.2942,                 1.7994,                 2.1522,               0.009835,               0.009835,               0.009835
                      5,                 1.3281,                 1.8285,                 1.9495,                0.77151,                0.47386,                0.54126,                0.33244,                 1.2585,                 1.5058,                 2.1061,               0.009835,               0.009835,               0.009835
                      6,                 1.2553,                  1.641,                 1.8853,                0.79916,                0.49368,                0.56807,                0.35415,                 1.1736,                 1.3331,                 2.0216,                0.00978,                0.00978,                0.00978
                      7,                 1.2006,                 1.5123,                 1.8301,                0.78845,                0.54444,                  0.622,                 0.3887,                 1.1427,                 1.2159,                 1.9963,               0.009725,               0.009725,               0.009725
                      8,                 1.1685,                 1.4178,                 1.8014,                0.80834,                0.59428,                0.65347,                0.42055,                 1.1187,                 1.1553,                 1.9492,                0.00967,                0.00967,                0.00967
                      9,                  1.144,                 1.3504,                 1.7792,                0.78836,                0.63024,                0.66689,                0.41976,                 1.1154,                  1.116,                 1.9272,               0.009615,               0.009615,               0.009615
                     10,                 1.1093,                 1.2822,                 1.7528,                0.83516,                 0.6328,                0.69105,                0.43764,                 1.0709,                 1.0298,                 1.9076,                0.00956,                0.00956,                0.00956
                     11,                 1.1026,                  1.241,                 1.7402,                0.72675,                0.63989,                0.69552,                0.44433,                 1.0663,                 1.0054,                 1.8981,               0.009505,               0.009505,               0.009505
                     12,                 1.0765,                 1.1996,                 1.7207,                0.84663,                 0.6362,                0.70305,                0.46313,                   1.04,                 0.9494,                 1.8603,                0.00945,                0.00945,                0.00945
                     13,                 1.0606,                   1.16,                 1.7075,                0.80496,                 0.6489,                0.73159,                0.48105,                 1.0235,                0.91737,                 1.8334,               0.009395,               0.009395,               0.009395
                     14,                 1.0481,                 1.1181,                 1.6931,                0.78082,                0.68156,                0.73495,                0.48462,                 1.0164,                0.87853,                 1.8145,                0.00934,                0.00934,                0.00934
                     15,                 1.0318,                 1.0873,                 1.6773,                0.86016,                0.66303,                0.72382,                0.47802,                 1.0004,                0.87515,                 1.7905,               0.009285,               0.009285,               0.009285
                     16,                 1.0247,                 1.0721,                 1.6705,                0.86605,                0.68711,                0.75714,                0.49948,                0.98046,                0.82212,                  1.776,                0.00923,                0.00923,                0.00923
                     17,                 1.0034,                 1.0392,                  1.654,                0.91082,                0.69351,                0.75912,                 0.5072,                0.97013,                0.80179,                 1.7751,               0.009175,               0.009175,               0.009175
                     18,                0.99838,                  1.012,                 1.6497,                0.87807,                0.70024,                0.76609,                 0.5093,                 0.9688,                0.79939,                 1.7731,                0.00912,                0.00912,                0.00912
                     19,                0.99385,                 1.0059,                 1.6418,                0.90023,                0.69735,                0.78493,                0.52728,                0.97089,                0.76875,                 1.7624,               0.009065,               0.009065,               0.009065
                     20,                0.97754,                0.98424,                 1.6326,                0.90674,                0.70826,                0.76936,                0.51643,                0.94532,                0.76155,                 1.7438,                0.00901,                0.00901,                0.00901
                     21,                0.98064,                0.96375,                  1.629,                0.90138,                0.71191,                0.81113,                0.52833,                0.96483,                 0.7439,                 1.7431,               0.008955,               0.008955,               0.008955
                     22,                0.96918,                0.95245,                 1.6172,                0.90077,                0.71283,                0.79467,                0.53213,                 0.9569,                0.73585,                  1.742,                 0.0089,                 0.0089,                 0.0089
                     23,                0.95764,                0.93742,                 1.6111,                 0.9091,                 0.7269,                 0.8031,                0.54253,                0.95144,                0.72431,                 1.7342,               0.008845,               0.008845,               0.008845
                     24,                0.95479,                 0.9243,                 1.6067,                0.92967,                 0.7255,                0.86412,                0.56533,                 0.9283,                0.70741,                 1.6995,                0.00879,                0.00879,                0.00879
                     25,                 0.9421,                0.90363,                  1.596,                0.86894,                0.74845,                0.82692,                0.55371,                0.94073,                0.68842,                 1.7116,               0.008735,               0.008735,               0.008735
                     26,                0.93828,                0.88828,                 1.5885,                0.82147,                0.82956,                0.86172,                 0.5592,                0.93443,                0.68419,                 1.7067,                0.00868,                0.00868,                0.00868
                     27,                0.93122,                0.88741,                 1.5804,                0.89799,                0.75885,                0.83691,                0.56041,                0.92911,                0.68096,                 1.6947,               0.008625,               0.008625,               0.008625
                     28,                0.92926,                0.87563,                 1.5827,                0.90539,                0.80554,                0.87669,                0.57636,                0.93451,                0.66214,                 1.7027,                0.00857,                0.00857,                0.00857
                     29,                0.92808,                 0.8611,                  1.578,                0.91855,                0.79154,                0.87421,                0.58435,                0.92889,                0.66212,                 1.6993,               0.008515,               0.008515,               0.008515
                     30,                0.91294,                0.86324,                 1.5682,                0.89577,                0.80584,                0.86421,                0.58041,                0.93514,                0.64858,                  1.697,                0.00846,                0.00846,                0.00846
