                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9725,                 6.2425,                 4.0465,                0.52241,                0.01551,                0.00602,                0.00142,                 2.8049,                  5.106,                 3.9287,              0.0033278,              0.0033278,              0.0033278
                      2,                 2.2804,                 4.3644,                 2.9947,                0.38444,                  0.213,                0.14687,                0.06014,                 1.9318,                 3.1361,                 2.7595,              0.0066245,              0.0066245,              0.0066245
                      3,                 1.8878,                 3.1477,                 2.4858,                0.37075,                0.30178,                0.23915,                0.11044,                 1.8576,                 2.7934,                 2.6432,              0.0098845,              0.0098845,              0.0098845
                      4,                 1.7111,                  2.522,                 2.2426,                0.52377,                0.35645,                0.37573,                0.20497,                 1.6479,                  2.275,                 2.3411,               0.009835,               0.009835,               0.009835
                      5,                 1.5813,                 2.1391,                 2.0913,                0.54523,                0.47031,                0.48382,                 0.2896,                 1.5692,                 1.8151,                 2.2225,               0.009835,               0.009835,               0.009835
                      6,                 1.4985,                 1.8965,                 1.9927,                0.64356,                0.46346,                0.52951,                0.33165,                 1.5011,                 1.6218,                 2.1112,                0.00978,                0.00978,                0.00978
                      7,                 1.4523,                 1.7544,                 1.9358,                0.63971,                0.47954,                0.53288,                0.32494,                 1.5082,                 1.5613,                 2.1212,               0.009725,               0.009725,               0.009725
                      8,                 1.4098,                 1.6318,                 1.8954,                0.79932,                0.52999,                0.61517,                0.38663,                 1.4303,                 1.3465,                 2.0451,                0.00967,                0.00967,                0.00967
                      9,                 1.3838,                 1.5446,                  1.864,                 0.7487,                0.60162,                0.62948,                0.39635,                 1.4468,                 1.2364,                 2.0694,               0.009615,               0.009615,               0.009615
                     10,                   1.36,                 1.4685,                 1.8418,                0.77095,                 0.5861,                0.63708,                0.40689,                 1.4227,                 1.2259,                 2.0326,                0.00956,                0.00956,                0.00956
