                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4291,                 6.1713,                 4.0304,                0.39327,                0.04399,                0.02085,                0.00588,                 2.1366,                 4.7464,                 3.5302,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.8099,                 4.2249,                 2.9617,                0.29338,                0.22104,                0.13698,                0.05405,                 1.5334,                 3.1023,                 2.8603,              0.0066245,              0.0066245,              0.0066245
                      3,                 1.4697,                 3.0545,                 2.4799,                0.32617,                0.26663,                0.21775,                0.10346,                 1.4298,                 2.7404,                 2.6104,              0.0098845,              0.0098845,              0.0098845
                      4,                 1.3287,                  2.453,                 2.2389,                0.41887,                0.37635,                0.36697,                0.20969,                 1.2128,                  2.128,                 2.3006,               0.009835,               0.009835,               0.009835
                      5,                 1.2189,                 2.0849,                 2.0941,                0.51634,                0.49963,                 0.4773,                0.28081,                 1.2278,                 1.7932,                 2.2643,               0.009835,               0.009835,               0.009835
                      6,                 1.1511,                 1.8543,                 2.0045,                0.60638,                0.48922,                0.52886,                0.32677,                 1.1268,                 1.4707,                 2.1265,                0.00978,                0.00978,                0.00978
                      7,                 1.1061,                 1.7113,                 1.9344,                0.60686,                0.53125,                0.54718,                0.33554,                 1.1276,                 1.4652,                 2.1082,               0.009725,               0.009725,               0.009725
                      8,                  1.073,                 1.5855,                 1.9022,                0.75422,                0.55322,                0.59784,                0.37669,                 1.0394,                 1.3154,                 2.0492,                0.00967,                0.00967,                0.00967
                      9,                 1.0468,                 1.5115,                 1.8723,                0.76597,                0.55864,                0.61423,                0.38532,                 1.0535,                 1.2318,                 2.0308,               0.009615,               0.009615,               0.009615
                     10,                 1.0165,                 1.4318,                 1.8486,                0.77385,                0.58373,                0.64194,                0.40983,                 1.0827,                 1.1806,                 2.0598,                0.00956,                0.00956,                0.00956
                     11,                0.98598,                 1.3426,                 1.8115,                0.82645,                0.57878,                0.65754,                0.41576,                 1.0314,                  1.093,                 2.0088,               0.009505,               0.009505,               0.009505
                     12,                0.97359,                 1.3048,                 1.7908,                 0.8239,                 0.5936,                 0.6642,                0.43085,                 1.0821,                 1.1063,                 2.0324,                0.00945,                0.00945,                0.00945
                     13,                 0.9551,                 1.2442,                 1.7692,                0.72655,                0.69821,                0.71702,                0.45903,                0.99457,                 1.0015,                 1.9456,               0.009395,               0.009395,               0.009395
                     14,                0.94822,                 1.2213,                 1.7657,                0.85247,                0.65469,                0.72882,                 0.4659,                 1.0063,                0.94228,                 1.9726,                0.00934,                0.00934,                0.00934
                     15,                0.92982,                 1.1757,                 1.7417,                0.87107,                0.63931,                0.72097,                0.47363,                0.98692,                0.96917,                 1.9487,               0.009285,               0.009285,               0.009285
                     16,                0.92266,                 1.1433,                 1.7299,                0.77339,                0.75353,                 0.7677,                0.48798,                 0.9369,                0.85746,                  1.887,                0.00923,                0.00923,                0.00923
                     17,                0.91335,                 1.1143,                 1.7222,                0.90536,                 0.6698,                0.74802,                 0.4976,                 0.9679,                0.88992,                 1.9222,               0.009175,               0.009175,               0.009175
                     18,                 0.9065,                 1.1035,                 1.7095,                0.85858,                0.70241,                0.76149,                0.50119,                0.93873,                0.86941,                 1.8806,                0.00912,                0.00912,                0.00912
                     19,                0.90331,                 1.0662,                 1.6993,                0.88671,                0.68992,                0.75742,                0.50632,                0.90838,                0.82712,                 1.8493,               0.009065,               0.009065,               0.009065
                     20,                 0.8887,                 1.0501,                  1.689,                0.88281,                0.73299,                0.79156,                0.51756,                0.90945,                0.79897,                 1.8441,                0.00901,                0.00901,                0.00901
                     21,                0.88794,                 1.0342,                 1.6866,                0.83037,                0.77318,                0.80899,                0.52809,                0.89979,                0.76947,                 1.8355,               0.008955,               0.008955,               0.008955
                     22,                0.86859,                 1.0071,                 1.6705,                0.77156,                0.79299,                0.80351,                0.53748,                 0.8916,                0.76272,                 1.8352,                 0.0089,                 0.0089,                 0.0089
                     23,                0.86209,                0.99663,                  1.657,                0.86001,                0.76306,                0.80342,                0.54474,                 0.9151,                0.75356,                 1.8363,               0.008845,               0.008845,               0.008845
                     24,                0.86035,                 0.9845,                 1.6646,                0.83797,                0.80061,                0.83309,                0.54696,                0.92362,                0.73529,                 1.8552,                0.00879,                0.00879,                0.00879
                     25,                0.84727,                0.97384,                 1.6468,                0.92408,                0.72541,                0.78031,                0.53506,                0.89375,                 0.7281,                 1.8217,               0.008735,               0.008735,               0.008735
                     26,                0.85017,                0.95062,                 1.6406,                0.90425,                0.73585,                0.81578,                0.54546,                0.89864,                0.71706,                 1.8122,                0.00868,                0.00868,                0.00868
                     27,                0.84102,                0.93678,                 1.6387,                0.87117,                0.78053,                0.82545,                0.56364,                0.89977,                0.69479,                 1.8221,               0.008625,               0.008625,               0.008625
                     28,                0.83533,                0.92339,                 1.6274,                0.90622,                0.77795,                0.82983,                0.56361,                 0.9276,                0.69482,                 1.8483,                0.00857,                0.00857,                0.00857
                     29,                0.82375,                0.90157,                 1.6178,                0.88784,                0.80058,                0.86093,                0.58655,                0.91445,                0.67889,                 1.8302,               0.008515,               0.008515,               0.008515
                     30,                0.82255,                0.90137,                 1.6175,                0.86813,                0.79097,                0.84268,                0.57439,                 0.8901,                 0.6747,                  1.805,                0.00846,                0.00846,                0.00846
                     31,                0.82269,                0.89631,                 1.6152,                0.90102,                0.80659,                0.86012,                0.58988,                0.87896,                0.65269,                 1.7967,               0.008405,               0.008405,               0.008405
                     32,                0.81853,                0.88391,                  1.607,                0.90732,                0.77694,                0.84322,                0.58226,                0.88915,                0.65505,                  1.807,                0.00835,                0.00835,                0.00835
                     33,                0.80858,                0.87665,                 1.6019,                0.88576,                 0.7936,                 0.8412,                0.58153,                0.87875,                0.65862,                 1.7971,               0.008295,               0.008295,               0.008295
                     34,                0.81001,                0.86205,                 1.5958,                0.84903,                0.80875,                0.83415,                 0.5804,                0.87712,                0.65743,                 1.7891,                0.00824,                0.00824,                0.00824
                     35,                0.80811,                0.85498,                 1.5965,                0.92339,                 0.8176,                0.86162,                0.59518,                0.88963,                0.64446,                 1.7984,               0.008185,               0.008185,               0.008185
                     36,                0.78956,                0.84169,                 1.5804,                0.89517,                0.82026,                0.86475,                0.59496,                0.87734,                 0.6417,                 1.7841,                0.00813,                0.00813,                0.00813
                     37,                0.79205,                 0.8408,                 1.5792,                0.90641,                0.82661,                0.86441,                 0.5964,                 0.8936,                0.63347,                 1.8005,               0.008075,               0.008075,               0.008075
                     38,                0.78909,                0.83372,                 1.5762,                0.92771,                0.79978,                 0.8647,                0.59397,                0.88233,                0.62875,                 1.7954,                0.00802,                0.00802,                0.00802
                     39,                 0.7861,                0.83616,                 1.5704,                 0.9103,                0.81108,                0.86411,                0.59701,                0.87908,                0.62252,                 1.7944,               0.007965,               0.007965,               0.007965
                     40,                0.78106,                0.83603,                 1.5708,                0.89149,                 0.8308,                0.86502,                0.59931,                0.87396,                0.61851,                 1.7859,                0.00791,                0.00791,                0.00791
                     41,                0.77928,                 0.8169,                 1.5576,                0.88831,                0.83438,                0.86684,                0.59587,                0.88379,                0.61402,                 1.7882,               0.007855,               0.007855,               0.007855
                     42,                0.77263,                0.80307,                 1.5577,                0.89786,                0.84172,                 0.8683,                0.59522,                0.88625,                 0.6045,                  1.788,                 0.0078,                 0.0078,                 0.0078
                     43,                0.76703,                0.79607,                 1.5522,                  0.905,                0.83873,                0.87293,                0.59656,                0.88681,                0.59887,                 1.7911,               0.007745,               0.007745,               0.007745
                     44,                0.77154,                0.79917,                 1.5565,                  0.915,                0.83793,                0.87383,                0.59648,                0.88745,                0.60097,                 1.7944,                0.00769,                0.00769,                0.00769
                     45,                0.76081,                0.78936,                  1.552,                0.91064,                0.84006,                0.87169,                 0.5955,                0.88095,                 0.5977,                 1.7863,               0.007635,               0.007635,               0.007635
                     46,                 0.7634,                0.78701,                 1.5462,                0.90423,                0.83104,                0.87042,                 0.6039,                0.87849,                 0.5934,                 1.7854,                0.00758,                0.00758,                0.00758
                     47,                 0.7558,                0.77573,                 1.5337,                 0.9079,                0.83986,                0.87161,                0.60854,                0.87745,                0.59414,                 1.7828,               0.007525,               0.007525,               0.007525
                     48,                0.74811,                0.77166,                  1.534,                0.92137,                0.83288,                0.87261,                0.60453,                0.87542,                0.58894,                 1.7783,                0.00747,                0.00747,                0.00747
                     49,                0.74135,                0.76281,                 1.5315,                 0.9223,                0.83656,                0.87211,                0.60444,                0.87778,                0.59046,                 1.7805,               0.007415,               0.007415,               0.007415
                     50,                0.74237,                0.75672,                 1.5225,                0.92667,                0.83925,                0.87326,                0.60598,                0.87857,                0.58498,                  1.781,                0.00736,                0.00736,                0.00736
                     51,                0.74027,                 0.7612,                  1.524,                0.93036,                0.83602,                0.87731,                0.60753,                0.87138,                0.58268,                 1.7732,               0.007305,               0.007305,               0.007305
                     52,                 0.7409,                0.75977,                 1.5223,                0.93198,                0.83458,                0.87132,                0.60662,                0.86721,                0.58132,                 1.7694,                0.00725,                0.00725,                0.00725
