                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6301,                  6.179,                 4.0266,                0.47215,                0.02132,                0.01588,                0.00523,                 2.3195,                 5.0967,                 3.5886,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.9656,                 4.2865,                 2.9647,                0.34327,                 0.1478,                0.08011,                0.02794,                 1.8481,                 3.6508,                 3.0935,              0.0066245,              0.0066245,              0.0066245
                      3,                 1.5453,                  3.069,                 2.4804,                 0.8465,                 0.0481,                0.07074,                0.04026,                  2.145,                 5.5499,                 3.3833,              0.0098845,              0.0098845,              0.0098845
                      4,                 1.3726,                 2.4553,                   2.25,                0.51175,                0.34649,                0.34675,                  0.196,                 1.2821,                   2.17,                 2.3345,               0.009835,               0.009835,               0.009835
                      5,                 1.2381,                 2.0751,                 2.1004,                0.46873,                0.42176,                 0.4176,                0.24587,                  1.274,                 1.9543,                 2.2683,               0.009835,               0.009835,               0.009835
                      6,                 1.1605,                 1.8444,                 2.0048,                0.66018,                0.49871,                0.55119,                0.34017,                 1.1544,                 1.4664,                 2.1575,                0.00978,                0.00978,                0.00978
                      7,                 1.1082,                 1.7076,                 1.9406,                0.60615,                0.47431,                0.51646,                 0.3217,                 1.1576,                 1.4758,                  2.133,               0.009725,               0.009725,               0.009725
                      8,                 1.0754,                 1.5743,                  1.905,                0.76386,                0.55512,                0.61363,                0.37787,                 1.0637,                 1.3344,                 2.0797,                0.00967,                0.00967,                0.00967
                      9,                 1.0495,                 1.4994,                 1.8794,                0.76604,                0.59847,                0.63017,                0.39431,                 1.0918,                 1.2297,                 2.0851,               0.009615,               0.009615,               0.009615
                     10,                 1.0152,                 1.4194,                 1.8481,                0.80862,                0.60254,                0.66869,                0.42051,                 1.0597,                 1.1155,                 2.0696,                0.00956,                0.00956,                0.00956
                     11,                0.99495,                  1.336,                 1.8225,                0.77236,                0.60294,                0.66252,                0.42587,                 1.0503,                 1.0702,                 2.0401,               0.009505,               0.009505,               0.009505
