                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9373,                 6.1285,                 3.9634,                0.54171,                0.05433,                0.02288,                0.00517,                 2.7043,                 5.0515,                 3.8441,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2141,                 4.2699,                 2.9015,                0.41746,                0.23948,                0.17372,                0.06086,                 2.0448,                 3.0863,                 2.8545,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8614,                  3.071,                 2.4266,                0.42063,                0.29214,                0.28283,                0.13681,                 1.7737,                  2.446,                 2.4764,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7187,                 2.4949,                  2.231,                0.42757,                0.40377,                0.38273,                0.20838,                 1.6032,                 2.1976,                 2.2499,               0.009835,               0.009835,               0.009835
                      5,                 1.6086,                 2.1705,                 2.0903,                0.54756,                0.44194,                0.45759,                0.26439,                 1.5691,                 1.8284,                 2.1895,               0.009835,               0.009835,               0.009835
                      6,                 1.5209,                 1.9463,                 2.0019,                0.66348,                0.47154,                0.52489,                0.32738,                 1.5137,                 1.5729,                 2.1036,                0.00978,                0.00978,                0.00978
                      7,                 1.4648,                 1.7913,                  1.935,                0.65935,                0.52407,                0.56946,                0.35805,                 1.4578,                 1.4928,                 2.0629,               0.009725,               0.009725,               0.009725
                      8,                 1.4247,                  1.675,                 1.8971,                0.66878,                0.56682,                 0.6099,                0.38929,                 1.3902,                 1.2868,                 1.9655,                0.00967,                0.00967,                0.00967
                      9,                 1.4008,                 1.5846,                 1.8631,                0.77913,                0.58486,                0.63546,                0.40609,                 1.3791,                 1.2128,                 1.9515,               0.009615,               0.009615,               0.009615
                     10,                 1.3602,                  1.497,                 1.8261,                0.70497,                0.57538,                0.63002,                0.41015,                 1.4076,                 1.2087,                 1.9809,                0.00956,                0.00956,                0.00956
                     11,                 1.3504,                 1.4433,                 1.8083,                0.79635,                0.61415,                0.66775,                0.43163,                 1.3491,                 1.0767,                 1.9032,               0.009505,               0.009505,               0.009505
                     12,                 1.3244,                 1.3894,                 1.7852,                0.75678,                0.63464,                0.68899,                0.45925,                 1.3279,                 1.0241,                 1.8792,                0.00945,                0.00945,                0.00945
                     13,                  1.308,                 1.3244,                 1.7683,                0.85114,                0.64195,                 0.7456,                0.48204,                 1.2901,                 0.9817,                 1.8549,               0.009395,               0.009395,               0.009395
                     14,                  1.295,                 1.2917,                 1.7522,                0.74266,                0.73345,                0.76315,                0.49352,                  1.299,                0.94381,                 1.8501,                0.00934,                0.00934,                0.00934
                     15,                 1.2824,                 1.2573,                 1.7361,                0.84106,                 0.6446,                0.71594,                0.47294,                 1.3128,                0.95323,                 1.8446,               0.009285,               0.009285,               0.009285
                     16,                 1.2731,                 1.2272,                 1.7274,                0.81976,                0.69473,                0.76798,                0.51068,                 1.2896,                0.90897,                 1.8466,                0.00923,                0.00923,                0.00923
                     17,                 1.2503,                 1.1863,                 1.7093,                0.85741,                0.70785,                0.76931,                0.50251,                 1.2631,                0.86413,                 1.8025,               0.009175,               0.009175,               0.009175
                     18,                 1.2475,                 1.1526,                 1.6974,                0.86047,                0.69875,                0.77269,                0.50561,                 1.2803,                0.86572,                 1.8068,                0.00912,                0.00912,                0.00912
                     19,                 1.2458,                 1.1483,                 1.6961,                0.86951,                0.72184,                0.79056,                0.52108,                 1.2408,                0.80376,                 1.7743,               0.009065,               0.009065,               0.009065
                     20,                 1.2354,                   1.12,                 1.6897,                0.89957,                0.69215,                0.76923,                0.52032,                 1.2369,                0.80436,                 1.7797,                0.00901,                0.00901,                0.00901
                     21,                 1.2306,                 1.0898,                  1.677,                0.89731,                0.69959,                0.76324,                0.52258,                 1.2379,                 0.7975,                 1.7671,               0.008955,               0.008955,               0.008955
                     22,                 1.2209,                 1.0696,                 1.6651,                 0.7727,                 0.7714,                0.77947,                0.52783,                 1.2354,                0.76207,                  1.771,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2175,                 1.0604,                 1.6622,                0.90338,                0.72165,                 0.8063,                0.53808,                 1.2375,                 0.7599,                 1.7696,               0.008845,               0.008845,               0.008845
                     24,                 1.2096,                 1.0491,                 1.6563,                0.89454,                0.75134,                0.81328,                0.55512,                 1.2341,                0.74391,                 1.7565,                0.00879,                0.00879,                0.00879
                     25,                  1.196,                 1.0292,                 1.6446,                0.91037,                0.72172,                0.79943,                0.54352,                 1.2314,                0.72861,                 1.7586,               0.008735,               0.008735,               0.008735
                     26,                 1.1949,                 1.0064,                 1.6347,                0.87446,                0.75932,                0.82302,                0.55486,                 1.2276,                0.72741,                 1.7525,                0.00868,                0.00868,                0.00868
                     27,                 1.1857,                 1.0013,                 1.6258,                0.79023,                 0.7954,                0.82062,                0.55791,                 1.2141,                0.71804,                 1.7291,               0.008625,               0.008625,               0.008625
                     28,                 1.1863,                0.98685,                 1.6245,                0.79085,                 0.8104,                0.82765,                0.56661,                 1.2196,                0.70929,                 1.7329,                0.00857,                0.00857,                0.00857
                     29,                 1.1861,                0.97617,                 1.6193,                0.88268,                0.75586,                0.85409,                0.56169,                 1.2115,                0.69629,                 1.7244,               0.008515,               0.008515,               0.008515
                     30,                 1.1686,                0.97512,                 1.6113,                0.87614,                0.76034,                0.83509,                0.57599,                 1.2123,                0.70284,                  1.734,                0.00846,                0.00846,                0.00846
