                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4654,                 6.0525,                 3.9518,                0.52463,                0.06995,                0.03359,                0.00943,                 2.0602,                 4.7537,                 3.4549,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.8428,                 4.1654,                 2.9073,                0.41316,                0.29906,                0.23444,                0.09861,                 1.5181,                 2.6075,                 2.7307,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5049,                 2.9899,                  2.445,                0.49287,                0.37575,                0.36168,                0.18126,                 1.3097,                 2.1963,                 2.4391,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3722,                 2.4209,                 2.2464,                0.48683,                0.44025,                0.43922,                0.23746,                 1.1687,                 1.8955,                  2.249,               0.009835,               0.009835,               0.009835
                      5,                 1.2636,                  2.117,                  2.117,                0.64545,                0.43787,                0.49713,                0.28977,                 1.1596,                 1.6973,                 2.1788,               0.009835,               0.009835,               0.009835
                      6,                 1.1752,                 1.8832,                 2.0194,                0.60781,                0.46102,                0.53986,                0.32683,                 1.0858,                 1.4727,                 2.1157,                0.00978,                0.00978,                0.00978
                      7,                 1.1227,                 1.7468,                 1.9495,                0.65967,                 0.5524,                0.60083,                0.38269,                 1.0459,                 1.3197,                 2.0559,               0.009725,               0.009725,               0.009725
                      8,                  1.084,                 1.6183,                 1.9045,                0.71857,                0.57777,                0.63156,                0.40273,                0.99877,                 1.2071,                  1.964,                0.00967,                0.00967,                0.00967
                      9,                 1.0642,                 1.5327,                 1.8756,                0.69797,                0.59742,                0.63509,                0.39856,                  1.016,                 1.1713,                 1.9863,               0.009615,               0.009615,               0.009615
                     10,                 1.0216,                 1.4446,                 1.8347,                0.75094,                0.58182,                0.66556,                0.43864,                0.96605,                 1.0874,                 1.9416,                0.00956,                0.00956,                0.00956
                     11,                 1.0155,                 1.3954,                 1.8174,                0.80574,                  0.606,                0.66292,                 0.4288,                0.96205,                 1.0581,                 1.9116,               0.009505,               0.009505,               0.009505
                     12,                0.99243,                 1.3455,                 1.7951,                0.82082,                0.62843,                0.68603,                0.45164,                 0.9508,                0.99794,                 1.8965,                0.00945,                0.00945,                0.00945
                     13,                0.97684,                 1.2899,                 1.7792,                0.82968,                0.65458,                0.70111,                0.46556,                0.92002,                0.96161,                 1.8706,               0.009395,               0.009395,               0.009395
                     14,                0.96612,                 1.2479,                  1.762,                0.83541,                0.66995,                0.71674,                0.47275,                0.92572,                0.93438,                 1.8639,                0.00934,                0.00934,                0.00934
                     15,                0.95311,                 1.2151,                 1.7496,                0.84892,                0.66966,                0.72668,                0.48068,                0.93652,                 0.9071,                 1.8666,               0.009285,               0.009285,               0.009285
                     16,                0.94526,                 1.1878,                 1.7386,                0.86927,                0.68294,                0.74482,                0.49502,                0.89098,                0.85386,                 1.8435,                0.00923,                0.00923,                0.00923
                     17,                0.92412,                 1.1496,                 1.7221,                 0.8714,                0.67324,                0.74104,                0.48904,                0.88067,                 0.8334,                 1.8116,               0.009175,               0.009175,               0.009175
                     18,                0.91885,                  1.112,                 1.7136,                0.87626,                0.68501,                0.75481,                 0.5094,                0.88403,                 0.8288,                 1.8085,                0.00912,                0.00912,                0.00912
                     19,                0.91724,                 1.1101,                 1.7129,                0.87873,                0.70049,                0.76516,                0.51777,                0.86558,                0.77744,                 1.7971,               0.009065,               0.009065,               0.009065
                     20,                0.90504,                 1.0869,                  1.701,                0.89678,                 0.6693,                0.75775,                0.50567,                0.88883,                0.79264,                 1.8219,                0.00901,                0.00901,                0.00901
                     21,                0.90208,                 1.0554,                  1.692,                0.89088,                0.69991,                0.76435,                0.51961,                0.86624,                0.76664,                 1.7806,               0.008955,               0.008955,               0.008955
                     22,                0.88775,                 1.0449,                  1.679,                0.90964,                0.71406,                0.79013,                0.52436,                0.87039,                0.74177,                 1.7935,                 0.0089,                 0.0089,                 0.0089
                     23,                0.88624,                 1.0342,                 1.6745,                 0.9024,                 0.7168,                0.81473,                0.53856,                0.86352,                0.73924,                  1.776,               0.008845,               0.008845,               0.008845
                     24,                0.87903,                 1.0209,                  1.669,                0.91123,                0.71959,                0.81258,                0.54195,                0.86613,                0.72194,                 1.7744,                0.00879,                0.00879,                0.00879
                     25,                0.86736,                0.99555,                 1.6568,                0.88113,                0.75949,                0.81249,                0.54703,                0.84619,                0.70655,                 1.7631,               0.008735,               0.008735,               0.008735
                     26,                0.86499,                0.97476,                 1.6501,                0.88713,                0.76918,                0.81542,                0.55057,                0.85489,                0.69075,                 1.7741,                0.00868,                0.00868,                0.00868
                     27,                0.85255,                  0.971,                 1.6428,                0.84863,                0.79614,                0.82032,                0.55472,                0.83933,                0.69169,                 1.7477,               0.008625,               0.008625,               0.008625
                     28,                0.85381,                0.95572,                 1.6429,                0.80933,                0.81231,                0.86429,                0.55981,                 0.8575,                0.70437,                 1.7662,                0.00857,                0.00857,                0.00857
                     29,                0.85215,                0.94215,                 1.6359,                0.86432,                0.78846,                0.84207,                0.55798,                0.84796,                0.67651,                 1.7494,               0.008515,               0.008515,               0.008515
                     30,                0.83823,                 0.9464,                 1.6244,                0.89429,                0.74793,                0.83228,                 0.5626,                 0.8356,                0.67648,                 1.7492,                0.00846,                0.00846,                0.00846
                     31,                 0.8386,                0.93121,                 1.6228,                0.91081,                0.75939,                 0.8424,                0.56895,                0.82927,                0.66754,                 1.7349,               0.008405,               0.008405,               0.008405
                     32,                0.82829,                0.90761,                 1.6098,                0.93727,                0.78768,                0.87055,                0.57033,                0.82712,                0.65689,                 1.7264,                0.00835,                0.00835,                0.00835
                     33,                0.82341,                0.90911,                  1.611,                0.85633,                0.78973,                0.82211,                0.56458,                 0.8251,                 0.6529,                 1.7233,               0.008295,               0.008295,               0.008295
                     34,                0.82074,                0.88867,                 1.6062,                0.89441,                0.76976,                0.84456,                0.57109,                0.82698,                0.64747,                 1.7263,                0.00824,                0.00824,                0.00824
                     35,                0.83115,                 0.8954,                 1.6137,                0.91507,                0.81526,                0.89776,                0.58575,                0.82446,                0.64101,                 1.7253,               0.008185,               0.008185,               0.008185
                     36,                0.82254,                0.88644,                 1.6086,                0.92531,                0.80149,                0.89714,                0.58521,                0.82166,                 0.6328,                  1.721,                0.00813,                0.00813,                0.00813
                     37,                0.81048,                0.87153,                 1.5951,                0.92749,                0.81505,                 0.9367,                0.58322,                0.82009,                0.63101,                   1.72,               0.008075,               0.008075,               0.008075
                     38,                0.80364,                0.85987,                 1.5859,                0.93906,                0.81322,                0.87656,                0.58676,                0.81566,                0.62207,                 1.7135,                0.00802,                0.00802,                0.00802
                     39,                0.80425,                0.85577,                 1.5882,                0.92596,                 0.8022,                  0.881,                0.59258,                0.80923,                0.62581,                 1.7104,               0.007965,               0.007965,               0.007965
                     40,                0.80314,                0.85379,                 1.5856,                0.91929,                0.81131,                0.88839,                0.59436,                0.80923,                0.62268,                 1.7111,                0.00791,                0.00791,                0.00791
                     41,                0.79886,                0.85055,                 1.5806,                0.94536,                0.80698,                0.89016,                0.60193,                0.80532,                 0.6202,                 1.7088,               0.007855,               0.007855,               0.007855
                     42,                0.79654,                0.83483,                 1.5801,                0.91147,                 0.8281,                0.88895,                0.60287,                0.80693,                 0.6196,                  1.707,                 0.0078,                 0.0078,                 0.0078
                     43,                0.79403,                0.83261,                 1.5758,                0.90359,                0.78947,                0.87627,                0.60164,                0.80491,                0.61344,                 1.7033,               0.007745,               0.007745,               0.007745
                     44,                0.78128,                0.81701,                 1.5632,                 0.9022,                0.81917,                0.87782,                0.60238,                0.80206,                0.60522,                 1.6992,                0.00769,                0.00769,                0.00769
                     45,                0.78826,                0.82264,                 1.5689,                0.93614,                0.77613,                0.86698,                0.59912,                0.80431,                0.60071,                 1.6985,               0.007635,               0.007635,               0.007635
                     46,                0.78534,                0.81674,                 1.5623,                0.89878,                0.82833,                0.88132,                0.60072,                0.80439,                0.59546,                 1.6973,                0.00758,                0.00758,                0.00758
                     47,                0.77795,                0.81183,                 1.5575,                 0.9062,                 0.8318,                0.88148,                 0.5998,                0.80507,                0.59165,                 1.6959,               0.007525,               0.007525,               0.007525
                     48,                0.78063,                0.80587,                 1.5566,                0.90774,                0.83362,                0.87959,                0.60698,                0.80372,                0.58868,                 1.6943,                0.00747,                0.00747,                0.00747
                     49,                 0.7757,                0.79149,                 1.5518,                0.91167,                0.83545,                0.87751,                0.60648,                0.80607,                0.58613,                 1.6937,               0.007415,               0.007415,               0.007415
                     50,                0.77461,                0.79299,                 1.5548,                0.86454,                0.85012,                 0.8659,                 0.6102,                0.80403,                0.58186,                 1.6927,                0.00736,                0.00736,                0.00736
                     51,                0.76018,                0.78264,                  1.541,                0.86681,                 0.8437,                 0.8659,                0.60888,                0.80315,                0.58035,                 1.6922,               0.007305,               0.007305,               0.007305
                     52,                 0.7598,                0.78082,                 1.5374,                0.87352,                0.84845,                0.86697,                0.60811,                0.80545,                 0.5787,                 1.6932,                0.00725,                0.00725,                0.00725
                     53,                0.75363,                0.78581,                 1.5393,                0.93887,                 0.8237,                0.87834,                0.60759,                0.80562,                0.57718,                 1.6929,               0.007195,               0.007195,               0.007195
                     54,                0.75061,                 0.7681,                 1.5306,                0.94255,                0.81638,                  0.877,                 0.6076,                0.80378,                 0.5756,                 1.6911,                0.00714,                0.00714,                0.00714
                     55,                0.75774,                0.77633,                 1.5338,                0.94447,                0.81191,                0.87627,                 0.6087,                0.80586,                 0.5748,                 1.6908,               0.007085,               0.007085,               0.007085
                     56,                0.75236,                0.76629,                 1.5339,                0.94213,                0.81232,                0.87784,                0.60991,                0.80353,                0.57399,                 1.6904,                0.00703,                0.00703,                0.00703
                     57,                 0.7463,                0.75486,                 1.5218,                0.94449,                0.81423,                0.87643,                 0.6127,                0.80243,                0.57099,                 1.6898,               0.006975,               0.006975,               0.006975
                     58,                0.74126,                0.76081,                 1.5246,                0.94374,                0.81609,                0.87655,                0.61251,                0.80191,                0.57056,                 1.6893,                0.00692,                0.00692,                0.00692
                     59,                0.73393,                0.74587,                 1.5155,                0.94151,                0.81412,                0.87687,                0.61221,                0.80239,                   0.57,                 1.6881,               0.006865,               0.006865,               0.006865
                     60,                0.73148,                0.74055,                 1.5131,                0.94547,                 0.8135,                0.87759,                 0.6134,                0.80367,                0.56919,                  1.688,                0.00681,                0.00681,                0.00681
                     61,                0.73329,                0.74545,                 1.5128,                0.95105,                0.81431,                0.87734,                0.61331,                0.80269,                0.56758,                  1.688,               0.006755,               0.006755,               0.006755
                     62,                0.72113,                0.73018,                 1.5046,                0.94659,                0.81499,                0.87745,                0.61301,                0.80506,                0.56713,                 1.6881,                 0.0067,                 0.0067,                 0.0067
                     63,                0.72627,                0.73446,                 1.5091,                0.94657,                0.81393,                0.87724,                0.61377,                0.80466,                0.56751,                 1.6881,               0.006645,               0.006645,               0.006645
                     64,                 0.7179,                0.72239,                  1.499,                0.94198,                0.82072,                0.87723,                0.61174,                0.80533,                0.56735,                  1.688,                0.00659,                0.00659,                0.00659
                     65,                0.72349,                0.72321,                 1.5011,                0.94178,                0.82067,                0.87775,                0.61243,                0.80566,                0.56702,                 1.6882,               0.006535,               0.006535,               0.006535
                     66,                0.71699,                0.72332,                 1.5007,                0.94196,                0.82128,                0.87805,                0.61276,                0.80457,                0.56501,                 1.6874,                0.00648,                0.00648,                0.00648
                     67,                0.71039,                0.71468,                 1.4919,                0.93971,                 0.8217,                0.87818,                 0.6142,                0.80542,                0.56278,                 1.6872,               0.006425,               0.006425,               0.006425
                     68,                0.71165,                0.71951,                 1.4908,                0.94248,                0.82132,                0.87825,                0.61299,                  0.805,                0.56274,                 1.6876,                0.00637,                0.00637,                0.00637
                     69,                0.70941,                 0.7175,                 1.4922,                0.93998,                0.82186,                0.87821,                0.61332,                0.80503,                0.56241,                 1.6882,               0.006315,               0.006315,               0.006315
                     70,                0.71315,                 0.7149,                 1.4904,                 0.9413,                0.82316,                0.87836,                0.61806,                0.80631,                0.56103,                 1.6885,                0.00626,                0.00626,                0.00626
                     71,                0.69592,                0.70202,                 1.4789,                0.94103,                0.82343,                0.87801,                0.61834,                0.80918,                0.55958,                 1.6889,               0.006205,               0.006205,               0.006205
                     72,                 0.7052,                0.69909,                 1.4819,                0.93701,                0.82555,                0.87868,                0.62532,                0.80942,                0.55807,                 1.6891,                0.00615,                0.00615,                0.00615
                     73,                0.69635,                0.69308,                 1.4745,                0.93907,                0.82497,                0.87913,                0.62486,                0.80989,                0.55625,                 1.6891,               0.006095,               0.006095,               0.006095
                     74,                0.70313,                0.69681,                 1.4784,                0.93926,                0.82487,                0.87916,                0.62569,                0.81033,                 0.5558,                 1.6888,                0.00604,                0.00604,                0.00604
                     75,                0.69268,                0.69537,                 1.4712,                0.93614,                0.82701,                0.87932,                 0.6251,                0.80995,                0.55491,                 1.6887,               0.005985,               0.005985,               0.005985
                     76,                0.69583,                0.69511,                 1.4756,                0.93594,                0.82755,                0.87962,                 0.6257,                0.80954,                0.55447,                 1.6887,                0.00593,                0.00593,                0.00593
                     77,                0.69135,                0.68493,                 1.4721,                0.93707,                0.82753,                0.87896,                0.62591,                0.81077,                0.55337,                 1.6884,               0.005875,               0.005875,               0.005875
                     78,                0.68852,                0.69021,                 1.4675,                0.93707,                0.82742,                0.87885,                0.62493,                0.81065,                0.55297,                 1.6881,                0.00582,                0.00582,                0.00582
                     79,                0.67035,                0.67185,                 1.4579,                0.93822,                0.82554,                0.87965,                 0.6241,                0.81285,                0.55274,                 1.6883,               0.005765,               0.005765,               0.005765
                     80,                0.67817,                0.68002,                 1.4616,                0.93853,                0.82631,                0.87893,                0.62357,                0.81222,                0.55183,                 1.6884,                0.00571,                0.00571,                0.00571
                     81,                0.67225,                0.66728,                 1.4542,                0.94045,                0.82513,                0.87901,                0.62346,                0.81404,                0.55106,                 1.6884,               0.005655,               0.005655,               0.005655
                     82,                0.67628,                0.67729,                 1.4585,                0.93976,                0.82509,                0.87903,                0.62342,                0.81445,                0.55101,                 1.6885,                 0.0056,                 0.0056,                 0.0056
