                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7639,                  6.064,                 3.9503,                0.60839,                0.04491,                0.02022,                0.00383,                 2.6211,                 5.3234,                 3.9747,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9599,                 4.2266,                 2.9194,                0.34135,                 0.2202,                0.17172,                0.06963,                 1.6759,                 2.7632,                  2.806,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5387,                 3.0096,                 2.4431,                0.49515,                0.30214,                0.30334,                0.16218,                 1.4329,                 2.4636,                 2.5224,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3629,                 2.4264,                 2.2356,                0.54282,                0.40812,                0.44053,                0.25529,                 1.2246,                 1.8727,                 2.2762,               0.009835,               0.009835,               0.009835
                      5,                 1.2508,                 2.0936,                 2.0924,                0.57994,                0.43658,                0.48352,                0.30053,                 1.1943,                 1.6371,                 2.1675,               0.009835,               0.009835,               0.009835
                      6,                 1.1743,                 1.8765,                 2.0064,                0.66989,                0.49065,                0.54653,                0.34017,                 1.0917,                 1.4101,                 2.0894,                0.00978,                0.00978,                0.00978
                      7,                 1.1235,                 1.7342,                 1.9398,                0.72477,                0.55239,                0.59885,                 0.3769,                 1.0589,                 1.3067,                 2.0821,               0.009725,               0.009725,               0.009725
                      8,                 1.0835,                 1.6093,                  1.906,                0.78525,                0.57868,                0.64227,                0.40883,                 1.0476,                 1.2013,                 2.0168,                0.00967,                0.00967,                0.00967
                      9,                 1.0653,                 1.5327,                 1.8796,                0.78774,                0.60169,                0.64402,                0.40467,                 1.0426,                 1.1575,                 2.0072,               0.009615,               0.009615,               0.009615
                     10,                 1.0249,                 1.4428,                 1.8434,                0.82836,                0.62878,                 0.6844,                0.43733,                0.99772,                 1.0737,                 1.9737,                0.00956,                0.00956,                0.00956
                     11,                 1.0131,                 1.3937,                  1.823,                0.79835,                 0.6155,                0.67615,                0.43395,                0.99768,                 1.0514,                 1.9629,               0.009505,               0.009505,               0.009505
                     12,                0.99372,                  1.337,                 1.8016,                0.77865,                0.63938,                0.70816,                0.46943,                0.96284,                0.98866,                  1.908,                0.00945,                0.00945,                0.00945
                     13,                0.97478,                 1.2814,                 1.7845,                0.82604,                0.67173,                0.71027,                0.47272,                0.94765,                0.94431,                 1.8981,               0.009395,               0.009395,               0.009395
                     14,                0.96202,                  1.247,                 1.7674,                0.83119,                0.66119,                 0.7201,                0.47781,                0.92739,                0.91627,                   1.88,                0.00934,                0.00934,                0.00934
                     15,                0.95064,                 1.2129,                 1.7558,                0.84188,                0.70023,                0.73489,                0.48482,                0.93648,                0.88725,                 1.8791,               0.009285,               0.009285,               0.009285
                     16,                 0.9458,                 1.1862,                 1.7463,                0.86562,                0.68826,                   0.75,                0.49772,                0.90259,                0.85504,                 1.8575,                0.00923,                0.00923,                0.00923
                     17,                0.92078,                  1.152,                 1.7286,                 0.8621,                0.70914,                0.75402,                0.50801,                0.89408,                0.82503,                 1.8356,               0.009175,               0.009175,               0.009175
                     18,                 0.9183,                 1.1118,                 1.7193,                0.86354,                0.69591,                0.76459,                0.50882,                0.90432,                0.81185,                 1.8226,                0.00912,                0.00912,                0.00912
                     19,                0.91439,                 1.1101,                 1.7123,                 0.9087,                 0.7023,                0.77262,                0.52525,                0.86806,                0.78184,                 1.7982,               0.009065,               0.009065,               0.009065
                     20,                0.90224,                 1.0847,                 1.7012,                 0.8141,                0.71535,                0.76484,                0.51279,                0.89358,                0.78639,                 1.8278,                0.00901,                0.00901,                0.00901
