                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83981,                 2.4308,                   1.41,                0.70761,                0.59013,                0.65345,                0.44382,                0.89019,                 1.1415,                 1.3516,              0.0033305,              0.0033305,              0.0033305
                      2,                 0.9144,                 1.2399,                 1.3178,                0.63429,                0.58112,                0.61491,                0.39106,                 1.0553,                 1.2228,                 1.4178,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.0293,                 1.3578,                 1.3792,                0.59807,                0.53033,                0.54168,                0.33997,                 1.1609,                 1.7503,                 1.4947,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.0888,                 1.4259,                 1.4209,                0.59933,                0.69917,                0.69092,                0.41825,                 1.0951,                 1.3694,                 1.4465,               0.009835,               0.009835,               0.009835
                      5,                 1.0365,                 1.2782,                 1.3879,                0.72551,                 0.6904,                0.70837,                0.43826,                 1.0609,                 1.1638,                 1.4187,               0.009835,               0.009835,               0.009835
                      6,                0.99268,                 1.1611,                 1.3619,                0.70122,                0.73634,                0.75959,                0.49441,                0.93489,                 0.9109,                  1.358,                0.00978,                0.00978,                0.00978
                      7,                0.96707,                 1.0817,                 1.3401,                 0.8607,                0.68372,                0.78486,                0.51715,                0.90767,                0.83433,                 1.3255,               0.009725,               0.009725,               0.009725
                      8,                0.94281,                 1.0223,                 1.3214,                0.85232,                0.79421,                0.81636,                0.54823,                 0.9187,                0.78655,                 1.3112,                0.00967,                0.00967,                0.00967
                      9,                0.93137,                0.98801,                 1.3182,                0.88218,                0.70069,                 0.8122,                0.54327,                0.88417,                0.76199,                 1.3057,               0.009615,               0.009615,               0.009615
                     10,                0.90201,                0.94027,                 1.2955,                0.91823,                0.74601,                0.83945,                0.54571,                 0.8879,                0.72545,                 1.3063,                0.00956,                0.00956,                0.00956
                     11,                0.90607,                0.92387,                 1.2963,                0.85351,                0.78919,                0.83733,                0.54586,                0.89175,                0.72934,                 1.3075,               0.009505,               0.009505,               0.009505
                     12,                0.88776,                0.89301,                 1.2823,                0.88673,                0.79125,                0.84553,                 0.5679,                0.86404,                0.68125,                 1.2845,                0.00945,                0.00945,                0.00945
                     13,                0.87488,                0.86874,                 1.2731,                0.91035,                0.80054,                0.85016,                0.57545,                0.85057,                0.65815,                 1.2668,               0.009395,               0.009395,               0.009395
                     14,                0.87214,                0.84219,                 1.2718,                0.88107,                0.81801,                0.86285,                0.58025,                 0.8636,                0.65312,                 1.2814,                0.00934,                0.00934,                0.00934
                     15,                0.85782,                0.82776,                 1.2628,                0.91046,                0.81045,                0.86073,                0.59732,                0.85305,                0.62214,                 1.2746,               0.009285,               0.009285,               0.009285
                     16,                0.85909,                0.82149,                 1.2622,                0.91465,                0.81227,                  0.879,                0.58684,                 0.8366,                0.63018,                 1.2641,                0.00923,                0.00923,                0.00923
                     17,                0.84283,                0.79683,                 1.2559,                0.89891,                0.83627,                0.89612,                0.60274,                 0.8171,                0.61084,                 1.2538,               0.009175,               0.009175,               0.009175
                     18,                0.83778,                0.77756,                 1.2501,                0.91437,                0.81639,                0.86202,                0.61356,                0.81849,                0.60301,                 1.2508,                0.00912,                0.00912,                0.00912
                     19,                0.83801,                0.78081,                 1.2493,                0.92972,                0.80788,                0.87676,                0.59162,                0.81581,                0.58799,                 1.2572,               0.009065,               0.009065,               0.009065
                     20,                0.82709,                0.76389,                  1.243,                0.93226,                0.82495,                0.90679,                0.61955,                0.80249,                0.58395,                 1.2416,                0.00901,                0.00901,                0.00901
                     21,                0.82666,                0.75598,                  1.238,                0.89618,                0.83113,                0.86648,                0.58401,                0.80881,                0.57493,                 1.2374,               0.008955,               0.008955,               0.008955
                     22,                0.81597,                0.74519,                 1.2348,                0.94754,                0.82371,                0.88851,                0.61389,                0.80836,                0.56037,                 1.2436,                 0.0089,                 0.0089,                 0.0089
                     23,                0.81321,                0.74463,                 1.2308,                0.93993,                0.82833,                0.88263,                0.61952,                0.81291,                0.55177,                 1.2413,               0.008845,               0.008845,               0.008845
                     24,                0.81232,                0.74067,                 1.2322,                0.94702,                0.83907,                0.88805,                0.62634,                0.79288,                0.55182,                 1.2247,                0.00879,                0.00879,                0.00879
                     25,                0.79784,                0.72929,                 1.2231,                0.93552,                0.83893,                0.94833,                0.63656,                 0.8124,                0.54966,                 1.2411,               0.008735,               0.008735,               0.008735
                     26,                0.79846,                0.71607,                 1.2208,                0.91664,                0.83424,                0.90295,                0.63481,                0.80726,                0.54885,                 1.2347,                0.00868,                0.00868,                0.00868
                     27,                0.78782,                0.71196,                 1.2169,                0.90834,                0.85193,                0.95286,                0.64708,                 0.7997,                0.52815,                 1.2301,               0.008625,               0.008625,               0.008625
                     28,                0.78716,                 0.6957,                 1.2169,                0.93485,                0.85228,                0.95055,                0.63617,                 0.7974,                0.51256,                 1.2276,                0.00857,                0.00857,                0.00857
                     29,                0.78945,                0.69383,                 1.2108,                0.92631,                0.84586,                0.89344,                0.63737,                0.79687,                0.52638,                 1.2222,               0.008515,               0.008515,               0.008515
                     30,                0.78003,                0.69573,                 1.2126,                0.92409,                0.84197,                 0.8831,                0.63255,                0.79095,                0.52788,                 1.2182,                0.00846,                0.00846,                0.00846
                     31,                0.77782,                0.68911,                  1.206,                0.92962,                0.84593,                0.95032,                0.64126,                0.79097,                0.51776,                 1.2152,               0.008405,               0.008405,               0.008405
                     32,                0.77201,                0.67657,                    1.2,                0.94101,                 0.8412,                0.95293,                0.64303,                0.78328,                0.50432,                 1.2118,                0.00835,                0.00835,                0.00835
                     33,                0.76492,                0.67703,                  1.199,                0.93874,                0.84381,                 0.9515,                0.64998,                0.78311,                0.50276,                 1.2086,               0.008295,               0.008295,               0.008295
                     34,                0.76399,                0.66706,                 1.2002,                0.94068,                0.83674,                0.95109,                0.63649,                0.78369,                0.51047,                 1.2093,                0.00824,                0.00824,                0.00824
                     35,                0.76894,                0.67437,                 1.2024,                0.93998,                0.83601,                0.95129,                0.63224,                  0.775,                0.51507,                 1.2063,               0.008185,               0.008185,               0.008185
                     36,                0.76342,                0.66797,                 1.2008,                0.94472,                0.84173,                 0.9538,                0.64271,                 0.7795,                0.50611,                 1.2105,                0.00813,                0.00813,                0.00813
                     37,                0.75155,                0.65435,                 1.1897,                0.94962,                 0.8369,                0.95218,                0.64035,                0.78133,                0.50029,                 1.2112,               0.008075,               0.008075,               0.008075
                     38,                0.74998,                0.65213,                 1.1908,                0.94548,                0.84053,                0.95253,                0.64256,                0.77579,                0.49495,                 1.2092,                0.00802,                0.00802,                0.00802
                     39,                0.74812,                0.65345,                 1.1916,                0.94313,                0.84616,                0.95323,                0.64565,                0.77639,                0.49129,                 1.2075,               0.007965,               0.007965,               0.007965
                     40,                0.74523,                0.64735,                 1.1881,                0.94619,                 0.8498,                0.95463,                0.64727,                0.78016,                 0.4864,                 1.2101,                0.00791,                0.00791,                0.00791
                     41,                0.74557,                0.65247,                 1.1851,                0.94865,                0.84777,                0.95598,                0.64831,                0.78047,                0.48752,                 1.2088,               0.007855,               0.007855,               0.007855
                     42,                0.73607,                0.63951,                  1.185,                0.93947,                0.85625,                0.95521,                0.63826,                0.78175,                0.48811,                 1.2094,                 0.0078,                 0.0078,                 0.0078
                     43,                0.73482,                0.63382,                 1.1846,                 0.9455,                0.85224,                0.95474,                0.64024,                0.78529,                0.48552,                 1.2118,               0.007745,               0.007745,               0.007745
                     44,                0.72995,                0.62837,                  1.175,                0.93847,                0.85802,                0.95342,                0.64204,                0.79024,                0.48405,                 1.2135,                0.00769,                0.00769,                0.00769
                     45,                0.73186,                0.63359,                 1.1792,                0.93967,                0.85461,                  0.954,                0.64339,                 0.7966,                0.48627,                 1.2155,               0.007635,               0.007635,               0.007635
                     46,                0.73055,                0.62694,                 1.1762,                 0.9417,                0.85262,                0.95378,                0.64094,                0.79307,                 0.4831,                 1.2146,                0.00758,                0.00758,                0.00758
                     47,                0.72908,                0.62708,                 1.1736,                0.94094,                0.85407,                0.95306,                0.64066,                0.79311,                0.48337,                 1.2124,               0.007525,               0.007525,               0.007525
                     48,                0.72687,                0.62597,                 1.1735,                  0.936,                0.85677,                0.95381,                0.64128,                0.79061,                0.48105,                 1.2114,                0.00747,                0.00747,                0.00747
                     49,                0.72391,                0.61561,                 1.1695,                0.93276,                0.86107,                0.95442,                0.64452,                0.79371,                0.47971,                 1.2118,               0.007415,               0.007415,               0.007415
                     50,                0.71994,                0.61263,                 1.1693,                0.94267,                0.85475,                0.95565,                0.64562,                 0.7965,                 0.4793,                 1.2134,                0.00736,                0.00736,                0.00736
                     51,                0.71252,                0.61196,                 1.1633,                0.94206,                0.85872,                0.95762,                0.64836,                0.79487,                0.47826,                 1.2136,               0.007305,               0.007305,               0.007305
                     52,                0.70741,                0.60536,                 1.1623,                0.93918,                0.86071,                 0.9575,                0.64935,                0.79538,                0.47816,                 1.2135,                0.00725,                0.00725,                0.00725
                     53,                0.70366,                 0.6088,                  1.165,                0.94016,                0.86158,                0.95691,                0.65008,                0.79465,                0.47587,                 1.2132,               0.007195,               0.007195,               0.007195
                     54,                0.69725,                0.60028,                 1.1599,                0.94083,                0.86076,                0.95803,                0.65038,                0.79165,                0.47392,                 1.2118,                0.00714,                0.00714,                0.00714
                     55,                0.70234,                0.60376,                 1.1589,                0.94407,                0.85785,                0.95728,                0.65206,                0.79626,                0.47225,                  1.211,               0.007085,               0.007085,               0.007085
                     56,                0.70311,                0.60125,                 1.1615,                0.94453,                0.86255,                0.95941,                0.65041,                0.79416,                0.47101,                 1.2114,                0.00703,                0.00703,                0.00703
                     57,                0.69488,                0.59645,                 1.1535,                0.94552,                0.86349,                0.95943,                 0.6517,                0.79446,                0.47067,                 1.2125,               0.006975,               0.006975,               0.006975
                     58,                0.69168,                0.59661,                  1.154,                0.94706,                0.86429,                0.95955,                0.65082,                0.79581,                0.47066,                 1.2133,                0.00692,                0.00692,                0.00692
                     59,                0.68434,                0.58671,                 1.1489,                 0.9454,                0.86504,                0.95929,                0.65052,                0.79663,                0.46976,                 1.2125,               0.006865,               0.006865,               0.006865
                     60,                0.67931,                0.58404,                 1.1471,                0.94487,                0.86555,                0.95964,                0.65382,                0.79659,                0.46837,                 1.2117,                0.00681,                0.00681,                0.00681
                     61,                0.68408,                0.58593,                 1.1482,                0.94706,                 0.8646,                0.96011,                0.65379,                0.79509,                 0.4678,                 1.2113,               0.006755,               0.006755,               0.006755
