                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3747,                 3.5142,                 1.3012,                0.61636,                0.41927,                0.41416,                0.27402,                 1.3694,                 2.4137,                 1.2752,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.3386,                 2.3317,                  1.272,                0.71431,                0.49497,                0.55115,                0.34516,                 1.4487,                 1.7353,                  1.319,              0.0065319,              0.0065319,              0.0065319
                      3,                 1.4094,                 1.9942,                 1.3343,                0.48743,                0.45326,                0.47574,                0.29427,                 1.5226,                  1.948,                 1.4611,              0.0096013,              0.0096013,              0.0096013
                      4,                 1.4466,                 1.7334,                 1.3861,                0.65704,                0.47984,                0.55719,                0.34869,                 1.4412,                 1.5558,                 1.4013,               0.009406,               0.009406,               0.009406
                      5,                 1.3987,                 1.5117,                 1.3567,                0.65195,                0.61459,                0.62477,                0.39387,                 1.4364,                 1.2924,                 1.3982,               0.009406,               0.009406,               0.009406
                      6,                 1.3496,                 1.3599,                 1.3346,                0.80209,                0.54958,                0.63426,                0.41114,                  1.366,                 1.2522,                  1.343,               0.009208,               0.009208,               0.009208
                      7,                 1.3068,                 1.2717,                 1.3061,                0.80329,                 0.6411,                0.72574,                0.47391,                 1.3356,                0.98381,                  1.335,                0.00901,                0.00901,                0.00901
                      8,                 1.2907,                 1.1879,                 1.3009,                0.77897,                0.70049,                0.73907,                 0.4926,                 1.3372,                 1.0122,                 1.3161,               0.008812,               0.008812,               0.008812
                      9,                 1.2735,                 1.1323,                 1.2886,                0.81834,                0.72251,                0.78108,                0.50747,                 1.3079,                0.87977,                 1.2954,               0.008614,               0.008614,               0.008614
                     10,                 1.2529,                 1.0837,                 1.2732,                0.79906,                0.73554,                0.76598,                0.50737,                 1.2881,                0.87389,                 1.3022,               0.008416,               0.008416,               0.008416
                     11,                 1.2424,                  1.059,                 1.2685,                0.81392,                0.74539,                0.79929,                0.50882,                 1.2996,                0.84751,                 1.2899,               0.008218,               0.008218,               0.008218
                     12,                  1.225,                 1.0194,                 1.2574,                0.83658,                0.70627,                 0.7937,                0.52415,                 1.2757,                0.78914,                 1.2686,                0.00802,                0.00802,                0.00802
                     13,                 1.2165,                0.98538,                 1.2548,                 0.8399,                0.76862,                0.83073,                0.55883,                  1.258,                0.77902,                 1.2625,               0.007822,               0.007822,               0.007822
                     14,                 1.2071,                0.95547,                 1.2467,                0.84066,                0.76195,                 0.8119,                0.54439,                 1.2381,                 0.7468,                 1.2518,               0.007624,               0.007624,               0.007624
                     15,                 1.1969,                0.93785,                 1.2395,                0.85835,                0.76704,                0.82452,                0.55431,                 1.2459,                0.75373,                 1.2528,               0.007426,               0.007426,               0.007426
                     16,                 1.1915,                0.91983,                 1.2357,                0.86212,                0.78492,                0.86552,                0.57251,                 1.2129,                0.68987,                   1.22,               0.007228,               0.007228,               0.007228
                     17,                 1.1766,                0.89354,                 1.2278,                  0.861,                0.79964,                0.87571,                0.56413,                 1.2151,                0.67985,                  1.229,                0.00703,                0.00703,                0.00703
                     18,                 1.1707,                0.87128,                 1.2267,                0.87489,                0.76931,                0.84457,                0.57647,                  1.204,                  0.668,                 1.2364,               0.006832,               0.006832,               0.006832
                     19,                 1.1635,                0.86481,                 1.2203,                0.88636,                0.79565,                0.86756,                0.58981,                 1.1842,                0.65643,                 1.2152,               0.006634,               0.006634,               0.006634
                     20,                 1.1571,                0.85199,                 1.2185,                0.86516,                0.81204,                0.91781,                0.59824,                 1.1907,                0.63314,                 1.2166,               0.006436,               0.006436,               0.006436
                     21,                 1.1547,                0.83305,                 1.2138,                0.87582,                0.80534,                0.84961,                 0.5855,                 1.1981,                 0.6426,                 1.2264,               0.006238,               0.006238,               0.006238
                     22,                 1.1443,                0.81986,                 1.2084,                0.90413,                0.81391,                0.86893,                0.59375,                 1.1968,                0.63956,                 1.2307,                0.00604,                0.00604,                0.00604
                     23,                 1.1432,                0.81666,                 1.2073,                0.92854,                0.79645,                0.92845,                0.62456,                 1.1851,                0.63173,                 1.2146,               0.005842,               0.005842,               0.005842
                     24,                   1.14,                 0.8038,                 1.2072,                0.89898,                0.82131,                0.93389,                0.61725,                 1.1707,                 0.6075,                 1.2014,               0.005644,               0.005644,               0.005644
                     25,                 1.1261,                0.78867,                 1.1965,                0.91649,                 0.8237,                0.93669,                0.60252,                 1.1816,                0.61279,                 1.2074,               0.005446,               0.005446,               0.005446
                     26,                 1.1197,                0.76835,                 1.1928,                0.90419,                0.82477,                0.89991,                0.60716,                 1.1792,                0.60276,                 1.2087,               0.005248,               0.005248,               0.005248
                     27,                 1.1156,                0.75844,                 1.1903,                0.91011,                0.82192,                0.90459,                0.61638,                 1.1778,                0.59493,                 1.2072,                0.00505,                0.00505,                0.00505
                     28,                 1.1065,                0.74725,                 1.1879,                0.93008,                0.83195,                0.94394,                0.62058,                 1.1777,                0.59167,                 1.2052,               0.004852,               0.004852,               0.004852
                     29,                 1.1108,                0.74395,                 1.1856,                0.91919,                0.83346,                0.94268,                0.63593,                  1.176,                0.58088,                 1.2052,               0.004654,               0.004654,               0.004654
                     30,                 1.0918,                0.73959,                 1.1835,                0.90827,                0.82985,                0.93825,                0.62993,                 1.1779,                 0.5897,                 1.2125,               0.004456,               0.004456,               0.004456
                     31,                 1.0935,                0.72712,                 1.1782,                0.92525,                0.81634,                 0.9451,                0.64025,                 1.1793,                  0.577,                 1.2114,               0.004258,               0.004258,               0.004258
                     32,                 1.0845,                0.70901,                 1.1696,                0.93499,                0.83029,                0.94671,                0.64877,                 1.1716,                0.57192,                 1.2031,                0.00406,                0.00406,                0.00406
                     33,                 1.0801,                0.70588,                 1.1706,                0.92677,                0.82948,                0.94259,                0.63766,                 1.1699,                0.57353,                 1.1998,               0.003862,               0.003862,               0.003862
                     34,                 1.0776,                0.69128,                  1.168,                0.92383,                0.83095,                0.94504,                0.64602,                 1.1763,                0.57272,                 1.2048,               0.003664,               0.003664,               0.003664
                     35,                 1.0784,                0.69246,                 1.1726,                0.90462,                 0.8326,                0.90922,                  0.633,                 1.1741,                0.57018,                 1.2059,               0.003466,               0.003466,               0.003466
                     36,                 1.0692,                0.68697,                 1.1647,                0.92777,                 0.8316,                0.91192,                0.64198,                 1.1748,                0.55951,                 1.2045,               0.003268,               0.003268,               0.003268
                     37,                 1.0529,                0.67104,                 1.1559,                0.92593,                0.83168,                0.94881,                0.64754,                 1.1659,                0.55776,                 1.1944,                0.00307,                0.00307,                0.00307
                     38,                 1.0499,                0.65837,                 1.1585,                0.93131,                0.82734,                0.94763,                0.64285,                  1.162,                0.54943,                  1.196,               0.002872,               0.002872,               0.002872
                     39,                 1.0475,                0.64868,                 1.1547,                0.92586,                0.83518,                0.94814,                0.64187,                 1.1644,                0.54365,                 1.1981,               0.002674,               0.002674,               0.002674
                     40,                 1.0412,                0.64447,                 1.1529,                0.92191,                0.83637,                0.94565,                0.64234,                 1.1636,                0.54335,                 1.1971,               0.002476,               0.002476,               0.002476
                     41,                 1.0748,                0.53223,                 1.1732,                0.91567,                0.84583,                 0.9478,                0.64251,                 1.1643,                0.54193,                 1.1966,               0.002278,               0.002278,               0.002278
                     42,                 1.0622,                0.52164,                 1.1722,                0.92538,                0.84245,                0.94734,                0.64135,                 1.1633,                0.53771,                 1.1963,                0.00208,                0.00208,                0.00208
                     43,                 1.0479,                0.50504,                  1.164,                0.92802,                 0.8453,                0.94718,                0.64038,                 1.1653,                0.53789,                 1.1974,               0.001882,               0.001882,               0.001882
                     44,                 1.0436,                0.50018,                 1.1611,                0.92977,                0.84424,                0.94777,                0.64004,                 1.1665,                0.53585,                 1.1979,               0.001684,               0.001684,               0.001684
                     45,                 1.0307,                0.47909,                 1.1478,                0.92946,                0.84253,                0.94856,                0.63601,                 1.1677,                 0.5343,                 1.1982,               0.001486,               0.001486,               0.001486
                     46,                 1.0193,                0.47586,                  1.135,                0.91862,                0.84291,                0.94932,                0.64565,                 1.1679,                0.53156,                 1.1971,               0.001288,               0.001288,               0.001288
                     47,                 1.0079,                0.46408,                 1.1338,                0.92338,                0.83899,                0.94977,                0.64374,                 1.1684,                0.53121,                 1.1974,                0.00109,                0.00109,                0.00109
                     48,                 1.0002,                0.45754,                 1.1383,                0.93164,                0.83958,                0.95011,                0.64456,                 1.1682,                0.53066,                 1.1991,               0.000892,               0.000892,               0.000892
                     49,                0.99099,                0.45115,                 1.1294,                0.93298,                0.83827,                0.95022,                0.64838,                 1.1696,                0.53198,                 1.2001,               0.000694,               0.000694,               0.000694
                     50,                0.98157,                0.44407,                 1.1216,                0.91924,                 0.8419,                0.94989,                0.64784,                 1.1709,                0.53229,                 1.2009,               0.000496,               0.000496,               0.000496
