                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3802,                 3.5473,                 1.2985,                 0.7457,                0.41076,                0.46745,                0.30633,                 1.3434,                 2.2415,                 1.2184,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.3449,                 2.3893,                 1.2734,                0.61064,                0.44144,                0.45393,                0.28122,                 1.5937,                 2.0311,                 1.3982,              0.0065319,              0.0065319,              0.0065319
                      3,                   1.41,                 2.0278,                 1.3343,                0.50918,                0.42672,                0.46801,                0.29242,                 1.5205,                 1.9544,                 1.4388,              0.0096013,              0.0096013,              0.0096013
                      4,                 1.4421,                  1.757,                 1.3766,                0.63293,                0.53646,                0.58296,                0.37322,                 1.4224,                 1.3581,                 1.3804,               0.009406,               0.009406,               0.009406
                      5,                 1.3919,                 1.5398,                 1.3456,                0.79532,                0.59979,                0.69168,                0.44487,                 1.3913,                 1.2536,                 1.3596,               0.009406,               0.009406,               0.009406
                      6,                  1.348,                 1.3868,                 1.3259,                0.72552,                 0.6292,                0.68073,                0.42821,                 1.3897,                 1.1067,                 1.3436,               0.009208,               0.009208,               0.009208
                      7,                 1.3106,                 1.2866,                 1.3014,                0.85384,                 0.5819,                0.72705,                 0.4723,                 1.3397,                 1.0335,                 1.3216,                0.00901,                0.00901,                0.00901
                      8,                  1.294,                 1.2025,                 1.2861,                0.76181,                0.71531,                0.70257,                0.46197,                 1.3327,                 1.0086,                 1.2954,               0.008812,               0.008812,               0.008812
                      9,                 1.2802,                 1.1525,                 1.2813,                0.76227,                0.70227,                0.76891,                0.50471,                 1.3141,                0.96387,                 1.2921,               0.008614,               0.008614,               0.008614
                     10,                 1.2503,                 1.0938,                 1.2602,                0.82716,                0.66586,                0.75822,                0.51005,                 1.3173,                0.93198,                 1.3073,               0.008416,               0.008416,               0.008416
                     11,                 1.2505,                  1.074,                 1.2615,                0.80888,                0.74779,                0.74692,                0.49372,                 1.3009,                0.86705,                 1.2801,               0.008218,               0.008218,               0.008218
                     12,                 1.2288,                 1.0353,                 1.2496,                0.82712,                0.77377,                0.86767,                0.55165,                 1.2895,                0.81619,                 1.2831,                0.00802,                0.00802,                0.00802
                     13,                 1.2187,                 1.0074,                 1.2449,                0.83247,                0.74085,                 0.7891,                0.53317,                 1.2622,                0.78349,                 1.2559,               0.007822,               0.007822,               0.007822
                     14,                 1.2116,                0.97205,                 1.2387,                0.83999,                0.77776,                0.90205,                0.58385,                 1.2376,                0.75637,                 1.2441,               0.007624,               0.007624,               0.007624
                     15,                 1.1997,                0.95588,                 1.2297,                0.81954,                0.71907,                0.84885,                0.54398,                 1.2445,                0.74056,                 1.2464,               0.007426,               0.007426,               0.007426
                     16,                 1.1968,                 0.9402,                 1.2284,                0.86138,                0.78145,                 0.8677,                0.57483,                 1.2474,                0.71962,                 1.2479,               0.007228,               0.007228,               0.007228
                     17,                 1.1816,                0.90987,                 1.2215,                0.87631,                0.77389,                0.91085,                0.59915,                 1.2242,                0.71208,                 1.2285,                0.00703,                0.00703,                0.00703
                     18,                  1.177,                 0.8881,                 1.2167,                0.84308,                0.79835,                0.85857,                0.57329,                 1.2217,                 0.7003,                 1.2385,               0.006832,               0.006832,               0.006832
                     19,                 1.1712,                0.87939,                 1.2149,                 0.8961,                0.80339,                0.92667,                0.58402,                 1.2266,                0.67653,                 1.2246,               0.006634,               0.006634,               0.006634
