                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3798,                 3.5272,                 1.3034,                0.69226,                0.40962,                0.41791,                0.27015,                 1.3933,                 2.4153,                 1.2698,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.3459,                 2.3656,                 1.2794,                0.62063,                0.30016,                0.34569,                0.20049,                 1.7359,                 2.3105,                 1.5111,              0.0065319,              0.0065319,              0.0065319
                      3,                 1.4179,                 2.0026,                 1.3371,                0.45983,                0.32571,                0.38458,                 0.2455,                 1.6112,                 2.3678,                 1.5285,              0.0096013,              0.0096013,              0.0096013
                      4,                 1.4501,                 1.7511,                 1.3876,                0.58431,                0.51781,                0.56011,                 0.3541,                 1.4317,                 1.4145,                 1.4135,               0.009406,               0.009406,               0.009406
                      5,                    1.4,                 1.5241,                 1.3628,                0.58879,                0.66435,                0.68493,                0.44261,                 1.3845,                 1.1892,                 1.3447,               0.009406,               0.009406,               0.009406
                      6,                 1.3479,                 1.3655,                 1.3342,                0.79361,                0.58227,                0.65929,                0.41073,                 1.3848,                 1.1719,                 1.3436,               0.009208,               0.009208,               0.009208
                      7,                 1.3154,                 1.2674,                 1.3071,                0.71711,                0.69197,                0.71794,                0.47053,                 1.3382,                 1.0456,                 1.3141,                0.00901,                0.00901,                0.00901
                      8,                 1.3011,                 1.1925,                 1.2961,                0.74212,                0.72272,                0.74508,                0.48465,                 1.3424,                0.98806,                 1.3141,               0.008812,               0.008812,               0.008812
                      9,                 1.2854,                 1.1499,                 1.2918,                 0.7689,                0.71045,                 0.7473,                0.49252,                 1.3154,                0.92166,                 1.2871,               0.008614,               0.008614,               0.008614
                     10,                 1.2533,                  1.088,                 1.2723,                0.82259,                0.68186,                0.75926,                0.49342,                 1.3182,                0.88391,                 1.3023,               0.008416,               0.008416,               0.008416
                     11,                 1.2496,                 1.0646,                 1.2692,                0.87471,                 0.7115,                 0.7945,                0.51633,                 1.2969,                0.87149,                 1.2827,               0.008218,               0.008218,               0.008218
                     12,                 1.2302,                 1.0213,                 1.2585,                0.85287,                0.76566,                0.82946,                0.54164,                 1.2887,                 0.8164,                 1.2855,                0.00802,                0.00802,                0.00802
                     13,                 1.2185,                0.99127,                 1.2525,                0.89488,                0.75205,                 0.8246,                0.55286,                 1.2663,                0.79002,                 1.2593,               0.007822,               0.007822,               0.007822
                     14,                 1.2135,                0.95977,                 1.2481,                0.86792,                0.72461,                0.81536,                0.54661,                 1.2476,                0.75507,                 1.2547,               0.007624,               0.007624,               0.007624
                     15,                 1.2031,                0.94668,                 1.2405,                0.85337,                0.78195,                0.84274,                0.56693,                 1.2506,                0.73453,                 1.2585,               0.007426,               0.007426,               0.007426
                     16,                 1.1961,                0.92939,                 1.2367,                0.84163,                0.80168,                0.82546,                0.57121,                  1.256,                 0.7042,                 1.2442,               0.007228,               0.007228,               0.007228
                     17,                 1.1807,                0.89326,                 1.2288,                0.89133,                0.79308,                0.85056,                 0.5941,                 1.2213,                0.69365,                 1.2355,                0.00703,                0.00703,                0.00703
                     18,                 1.1765,                0.87358,                  1.226,                0.85923,                0.80967,                0.92348,                0.61078,                 1.2108,                0.67311,                 1.2285,               0.006832,               0.006832,               0.006832
                     19,                 1.1677,                0.87012,                 1.2211,                0.87835,                0.79581,                0.92144,                0.59734,                  1.213,                0.66521,                 1.2232,               0.006634,               0.006634,               0.006634
                     20,                 1.1677,                0.85845,                 1.2214,                0.90495,                0.80916,                 0.8775,                0.60581,                 1.2102,                0.65029,                 1.2281,               0.006436,               0.006436,               0.006436
                     21,                 1.1657,                0.84062,                 1.2197,                 0.8817,                0.80867,                0.85666,                0.57299,                 1.2063,                0.64137,                 1.2253,               0.006238,               0.006238,               0.006238
                     22,                  1.148,                0.82178,                 1.2066,                0.91362,                0.81586,                0.86034,                0.59618,                 1.2033,                0.63608,                 1.2188,                0.00604,                0.00604,                0.00604
                     23,                 1.1448,                0.81584,                 1.2077,                0.90634,                0.81089,                0.85945,                0.60358,                 1.1931,                0.61609,                 1.2114,               0.005842,               0.005842,               0.005842
                     24,                 1.1443,                0.80273,                 1.2074,                0.90704,                0.82055,                0.93479,                0.61637,                 1.1918,                0.61323,                 1.2068,               0.005644,               0.005644,               0.005644
                     25,                 1.1337,                0.78949,                 1.1947,                0.91482,                0.81485,                0.90261,                0.62284,                 1.1867,                0.60147,                 1.2007,               0.005446,               0.005446,               0.005446
                     26,                 1.1287,                0.76822,                 1.1928,                0.91744,                0.82079,                0.90318,                0.63433,                  1.183,                0.59215,                 1.2042,               0.005248,               0.005248,               0.005248
                     27,                 1.1201,                0.76966,                 1.1899,                0.91707,                0.82205,                0.87129,                0.62906,                  1.187,                0.59046,                 1.2086,                0.00505,                0.00505,                0.00505
                     28,                 1.1097,                0.75194,                 1.1879,                0.91136,                0.81654,                0.88747,                0.61458,                 1.1726,                0.57794,                 1.1958,               0.004852,               0.004852,               0.004852
                     29,                 1.1152,                0.74457,                 1.1846,                0.90936,                0.82114,                0.87531,                0.62252,                  1.182,                0.58518,                 1.2029,               0.004654,               0.004654,               0.004654
                     30,                 1.1007,                0.74337,                 1.1851,                0.90509,                0.83677,                0.87874,                0.61311,                 1.1775,                0.57647,                 1.2021,               0.004456,               0.004456,               0.004456
                     31,                 1.0971,                0.72844,                 1.1785,                0.91778,                0.83324,                0.89037,                0.62894,                 1.1772,                0.56365,                  1.202,               0.004258,               0.004258,               0.004258
                     32,                 1.0927,                0.71198,                 1.1708,                0.92458,                0.82594,                0.94342,                 0.6418,                 1.1772,                0.56853,                 1.2011,                0.00406,                0.00406,                0.00406
                     33,                 1.0841,                0.70805,                 1.1713,                0.92818,                0.83437,                0.91206,                0.62983,                 1.1842,                0.55897,                 1.2059,               0.003862,               0.003862,               0.003862
                     34,                  1.084,                0.69401,                 1.1687,                0.91845,                0.83559,                 0.9092,                0.63103,                  1.185,                0.55547,                 1.2037,               0.003664,               0.003664,               0.003664
                     35,                 1.0829,                 0.6945,                 1.1731,                0.92175,                0.83747,                 0.9461,                0.63849,                 1.1866,                0.55579,                 1.2033,               0.003466,               0.003466,               0.003466
                     36,                  1.077,                0.68905,                 1.1688,                0.92427,                0.83455,                0.94864,                0.63752,                 1.1817,                0.55137,                 1.2016,               0.003268,               0.003268,               0.003268
                     37,                 1.0603,                0.66965,                 1.1573,                0.92506,                0.82779,                0.94777,                0.64168,                 1.1751,                0.54904,                 1.1975,                0.00307,                0.00307,                0.00307
                     38,                  1.054,                 0.6547,                 1.1561,                0.91495,                0.83813,                0.94858,                0.63487,                 1.1708,                0.54177,                 1.1946,               0.002872,               0.002872,               0.002872
                     39,                 1.0472,                0.65361,                 1.1508,                 0.9201,                0.84144,                 0.9491,                0.63798,                 1.1753,                0.53808,                 1.1957,               0.002674,               0.002674,               0.002674
                     40,                 1.0468,                0.64656,                 1.1507,                0.91474,                0.84234,                0.94962,                0.63622,                 1.1736,                0.53512,                 1.1948,               0.002476,               0.002476,               0.002476
