                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3758,                 3.5039,                 1.3117,                0.69719,                0.40686,                0.43639,                  0.291,                 1.3436,                 2.3195,                 1.2352,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.3339,                 2.3332,                 1.2875,                0.66858,                0.46978,                0.50246,                0.29757,                 1.4662,                 1.7245,                 1.3738,              0.0065319,              0.0065319,              0.0065319
                      3,                 1.4089,                 1.9796,                 1.3511,                0.47056,                0.45542,                0.48457,                0.28561,                 1.5188,                 1.9925,                 1.4548,              0.0096013,              0.0096013,              0.0096013
                      4,                 1.4411,                 1.7247,                 1.3999,                0.66106,                0.50014,                0.60239,                0.37725,                 1.4669,                  1.547,                 1.4329,               0.009406,               0.009406,               0.009406
                      5,                 1.3915,                 1.5075,                 1.3669,                0.79075,                0.57287,                0.64405,                0.42072,                 1.3638,                 1.1909,                 1.3488,               0.009406,               0.009406,               0.009406
                      6,                 1.3425,                 1.3603,                 1.3466,                0.77966,                0.66381,                0.73265,                0.47071,                  1.377,                 1.0972,                 1.3656,               0.009208,               0.009208,               0.009208
                      7,                 1.3089,                 1.2637,                 1.3198,                0.76996,                0.60665,                0.65852,                0.42899,                 1.3612,                 1.0782,                 1.3603,                0.00901,                0.00901,                0.00901
                      8,                 1.2878,                  1.182,                 1.3063,                0.82651,                0.71079,                0.77535,                0.49596,                 1.3033,                0.95936,                 1.3018,               0.008812,               0.008812,               0.008812
                      9,                 1.2781,                 1.1329,                 1.3048,                0.86892,                0.74114,                0.79752,                0.51612,                 1.2835,                0.86016,                 1.2893,               0.008614,               0.008614,               0.008614
                     10,                 1.2462,                 1.0767,                 1.2794,                0.84323,                0.69591,                0.78589,                0.52068,                 1.2905,                0.84596,                 1.3078,               0.008416,               0.008416,               0.008416
                     11,                 1.2449,                 1.0582,                 1.2817,                 0.8637,                0.67797,                0.83458,                 0.5228,                 1.2655,                0.83501,                  1.282,               0.008218,               0.008218,               0.008218
                     12,                 1.2255,                 1.0138,                 1.2699,                0.83301,                0.71672,                0.79844,                 0.5412,                 1.2491,                0.79142,                 1.2694,                0.00802,                0.00802,                0.00802
                     13,                 1.2131,                0.98452,                 1.2618,                0.88291,                0.74981,                0.83474,                0.55971,                  1.239,                0.79144,                 1.2663,               0.007822,               0.007822,               0.007822
                     14,                 1.2081,                 0.9569,                 1.2548,                0.81857,                0.78329,                0.81031,                0.54422,                 1.2436,                0.76195,                 1.2751,               0.007624,               0.007624,               0.007624
                     15,                 1.1974,                0.93732,                 1.2493,                0.86924,                 0.7911,                0.83357,                0.54884,                  1.235,                0.73857,                 1.2688,               0.007426,               0.007426,               0.007426
                     16,                 1.1886,                0.91644,                 1.2432,                0.92359,                0.76635,                 0.8409,                0.57652,                 1.2168,                0.70775,                  1.248,               0.007228,               0.007228,               0.007228
                     17,                 1.1747,                0.89064,                 1.2361,                0.87817,                0.79195,                0.85345,                0.57515,                 1.2107,                0.68463,                 1.2489,                0.00703,                0.00703,                0.00703
                     18,                 1.1677,                0.87306,                 1.2346,                0.90229,                0.80394,                 0.8508,                 0.5961,                 1.1956,                0.66937,                  1.236,               0.006832,               0.006832,               0.006832
                     19,                  1.163,                0.86206,                 1.2304,                0.92568,                0.77852,                0.86312,                0.59172,                 1.1933,                0.64832,                 1.2224,               0.006634,               0.006634,               0.006634
                     20,                 1.1568,                0.84446,                 1.2267,                0.88205,                0.81505,                 0.8988,                 0.5945,                 1.1983,                0.64096,                 1.2413,               0.006436,               0.006436,               0.006436
                     21,                 1.1586,                0.83317,                 1.2266,                0.92764,                0.78111,                0.85711,                0.59668,                 1.1946,                0.65885,                 1.2379,               0.006238,               0.006238,               0.006238
                     22,                 1.1433,                0.81642,                 1.2169,                0.93638,                0.81549,                 0.8995,                 0.6096,                 1.1771,                0.62142,                 1.2275,                0.00604,                0.00604,                0.00604
                     23,                 1.1425,                0.80898,                 1.2182,                0.91665,                0.81289,                0.94097,                 0.6193,                 1.1828,                0.60381,                 1.2339,               0.005842,               0.005842,               0.005842
                     24,                 1.1354,                 0.7959,                 1.2147,                 0.8896,                0.82522,                0.89242,                0.60981,                 1.1727,                0.60048,                 1.2142,               0.005644,               0.005644,               0.005644
                     25,                  1.123,                0.77996,                 1.2054,                  0.914,                0.81818,                0.93911,                0.61652,                 1.1785,                0.59778,                 1.2227,               0.005446,               0.005446,               0.005446
                     26,                 1.1202,                 0.7652,                 1.2039,                0.89151,                0.82201,                 0.8849,                0.61829,                  1.173,                0.58939,                 1.2194,               0.005248,               0.005248,               0.005248
                     27,                 1.1106,                0.75968,                    1.2,                0.90483,                 0.8325,                0.89633,                0.62272,                 1.1657,                0.58271,                 1.2167,                0.00505,                0.00505,                0.00505
                     28,                 1.1045,                0.74723,                 1.1962,                0.92126,                0.80877,                 0.8933,                0.62151,                   1.17,                0.58306,                 1.2198,               0.004852,               0.004852,               0.004852
                     29,                 1.1101,                0.74116,                  1.194,                0.92527,                 0.8016,                0.94329,                0.62733,                 1.1633,                0.57496,                 1.2128,               0.004654,               0.004654,               0.004654
                     30,                 1.0922,                0.73459,                 1.1924,                 0.9258,                0.81112,                0.94145,                0.62175,                 1.1765,                0.57602,                  1.223,               0.004456,               0.004456,               0.004456
                     31,                 1.0914,                0.72352,                 1.1848,                0.91838,                0.83447,                0.90936,                0.62115,                 1.1713,                0.56878,                 1.2123,               0.004258,               0.004258,               0.004258
                     32,                 1.0871,                0.70706,                 1.1804,                0.92251,                0.82507,                0.94229,                0.63569,                 1.1675,                0.56843,                 1.2183,                0.00406,                0.00406,                0.00406
                     33,                 1.0764,                0.70318,                 1.1792,                0.91835,                 0.8328,                  0.944,                0.63271,                 1.1646,                0.55857,                 1.2153,               0.003862,               0.003862,               0.003862
                     34,                 1.0779,                0.68707,                 1.1771,                0.94068,                0.82589,                0.94631,                0.63956,                 1.1667,                0.55379,                 1.2144,               0.003664,               0.003664,               0.003664
                     35,                 1.0761,                0.68669,                  1.179,                0.93776,                0.82963,                0.91474,                0.63671,                 1.1686,                0.55172,                  1.212,               0.003466,               0.003466,               0.003466
                     36,                 1.0676,                0.68191,                 1.1738,                0.91582,                0.84502,                0.94972,                0.64882,                 1.1688,                0.54832,                 1.2112,               0.003268,               0.003268,               0.003268
                     37,                 1.0541,                 0.6669,                 1.1677,                0.93613,                0.83337,                0.94852,                 0.6435,                 1.1665,                0.54574,                  1.211,                0.00307,                0.00307,                0.00307
                     38,                 1.0458,                0.65112,                 1.1614,                0.93235,                0.83844,                0.94905,                0.63619,                 1.1632,                0.53585,                 1.2095,               0.002872,               0.002872,               0.002872
                     39,                 1.0424,                0.64592,                 1.1601,                0.93821,                0.82597,                0.94774,                0.64805,                 1.1579,                0.53595,                 1.2079,               0.002674,               0.002674,               0.002674
                     40,                 1.0401,                0.64075,                 1.1614,                0.93043,                0.83109,                0.94988,                0.64269,                  1.159,                0.53144,                 1.2135,               0.002476,               0.002476,               0.002476
                     41,                 1.0685,                0.53021,                 1.1805,                0.91364,                0.84687,                0.94971,                0.63797,                 1.1613,                0.53327,                 1.2167,               0.002278,               0.002278,               0.002278
                     42,                 1.0558,                0.51042,                 1.1704,                0.90926,                0.84882,                0.91582,                0.63548,                 1.1613,                0.53095,                 1.2144,                0.00208,                0.00208,                0.00208
                     43,                 1.0444,                0.50139,                 1.1653,                0.93109,                0.83349,                0.90488,                0.63637,                 1.1658,                0.53276,                 1.2159,               0.001882,               0.001882,               0.001882
                     44,                 1.0371,                0.49347,                 1.1595,                0.93792,                0.83409,                0.90454,                0.63361,                 1.1675,                0.53426,                 1.2138,               0.001684,               0.001684,               0.001684
                     45,                 1.0226,                0.47736,                 1.1514,                0.93228,                 0.8385,                0.90395,                0.63195,                 1.1671,                0.53519,                 1.2139,               0.001486,               0.001486,               0.001486
                     46,                 1.0127,                0.46976,                 1.1439,                0.92963,                0.83741,                0.90286,                 0.6345,                 1.1671,                0.53691,                 1.2143,               0.001288,               0.001288,               0.001288
                     47,                 1.0012,                0.46064,                 1.1368,                0.93442,                0.83538,                0.89687,                0.63338,                 1.1685,                0.53793,                 1.2153,                0.00109,                0.00109,                0.00109
                     48,                0.99502,                0.45274,                 1.1338,                0.92775,                0.84269,                0.89631,                0.63015,                  1.171,                0.53799,                 1.2164,               0.000892,               0.000892,               0.000892
                     49,                0.98561,                0.44719,                 1.1283,                0.92401,                 0.8424,                0.89574,                   0.63,                 1.1728,                0.53699,                 1.2173,               0.000694,               0.000694,               0.000694
