                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.391,                 3.5869,                 1.3052,                0.78281,                0.36266,                0.43407,                0.27791,                 1.4143,                 2.3689,                 1.2577,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.3664,                 2.4525,                 1.2945,                0.71529,                 0.4938,                0.55282,                0.36073,                 1.3834,                 1.6205,                 1.2946,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.4462,                 2.0951,                 1.3728,                0.51651,                0.46933,                0.49403,                0.30977,                 1.5041,                 1.5779,                 1.4106,              0.0098336,              0.0098336,              0.0098336
                      4,                 1.4762,                  1.842,                 1.4237,                0.67548,                0.51005,                0.60146,                0.37906,                 1.4258,                 1.4065,                 1.4041,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.4156,                 1.6111,                 1.3885,                0.78626,                0.60892,                0.71822,                0.44087,                 1.3789,                 1.1992,                 1.3659,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.3678,                 1.4425,                 1.3612,                0.76252,                0.60974,                0.71089,                0.45908,                 1.3462,                   1.07,                  1.343,                0.00967,                0.00967,                0.00967
                      7,                 1.3437,                 1.3593,                 1.3425,                0.79127,                0.63017,                0.78292,                0.50643,                 1.3279,                 1.0021,                 1.3209,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.3199,                 1.2923,                 1.3286,                 0.8329,                0.71461,                0.77409,                0.49596,                 1.3494,                 1.0237,                 1.3374,               0.009505,               0.009505,               0.009505
                      9,                 1.3043,                 1.2255,                 1.3207,                 0.8293,                0.71163,                0.78039,                0.49952,                  1.279,                0.94538,                 1.2848,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2817,                 1.1771,                 1.3081,                0.81145,                0.73797,                0.78107,                0.53742,                 1.2578,                0.87965,                 1.2794,                0.00934,                0.00934,                0.00934
                     11,                 1.2702,                 1.1481,                 1.2946,                0.77698,                0.72724,                0.75036,                0.50628,                 1.2712,                0.85314,                  1.284,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.2591,                 1.1106,                  1.293,                 0.8488,                0.73841,                0.81136,                 0.5473,                 1.2596,                0.81469,                 1.2793,               0.009175,               0.009175,               0.009175
                     13,                   1.25,                   1.09,                 1.2848,                 0.8402,                0.78158,                 0.8341,                0.55815,                 1.2447,                0.78073,                  1.264,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.2366,                 1.0593,                 1.2788,                0.89518,                0.75036,                0.83697,                 0.5553,                 1.2305,                  0.767,                 1.2624,                0.00901,                0.00901,                0.00901
                     15,                 1.2329,                 1.0466,                 1.2706,                0.84427,                0.79283,                0.85838,                0.55543,                 1.2353,                0.75349,                 1.2563,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.2309,                 1.0167,                 1.2679,                0.89943,                0.77556,                0.83673,                0.58131,                 1.2186,                0.75597,                 1.2473,               0.008845,               0.008845,               0.008845
                     17,                 1.2176,                0.99302,                  1.259,                0.87869,                0.77515,                0.83265,                0.57534,                  1.223,                0.73952,                 1.2406,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.2153,                0.97587,                 1.2604,                0.91357,                0.77627,                0.85134,                0.56804,                 1.2121,                0.72297,                 1.2451,                0.00868,                0.00868,                0.00868
                     19,                 1.2121,                0.96531,                 1.2601,                0.86337,                0.80211,                0.83107,                0.56248,                 1.2107,                0.70156,                 1.2426,              0.0085975,              0.0085975,              0.0085975
