                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.068,                 2.4442,                  1.413,                0.78042,                0.52195,                 0.6415,                0.43165,                0.98779,                 1.2079,                 1.3533,              0.0033319,              0.0033319,              0.0033319
                      2,                0.98709,                 1.3253,                 1.3421,                0.67753,                0.62995,                0.69156,                0.43482,                 1.0345,                 1.0891,                 1.3852,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.0754,                 1.4417,                 1.4137,                0.73225,                0.56846,                0.61777,                0.37426,                 1.1543,                 1.2332,                 1.4757,              0.0098336,              0.0098336,              0.0098336
                      4,                 1.1349,                 1.5011,                 1.4511,                0.77522,                0.60707,                0.66178,                0.42488,                 1.0501,                 1.0772,                 1.4159,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.0771,                 1.3411,                 1.4136,                 0.8346,                0.62633,                0.72762,                 0.4676,                  1.032,                 0.9972,                 1.4009,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.0296,                 1.2092,                 1.3792,                0.82145,                0.65367,                0.69987,                0.46734,                0.97309,                0.89144,                 1.3615,                0.00967,                0.00967,                0.00967
                      7,                 1.0064,                 1.1516,                 1.3645,                0.88292,                0.69887,                0.79259,                0.51983,                 0.9648,                0.85806,                  1.361,              0.0095875,              0.0095875,              0.0095875
                      8,                0.98541,                 1.0864,                 1.3489,                0.85739,                 0.6867,                0.81364,                0.54128,                0.96442,                0.78835,                 1.3296,               0.009505,               0.009505,               0.009505
                      9,                0.96316,                 1.0273,                 1.3287,                0.84688,                0.76761,                0.81535,                0.53159,                0.92576,                0.78002,                 1.3123,              0.0094225,              0.0094225,              0.0094225
                     10,                0.94337,                0.99637,                 1.3226,                0.89519,                0.79797,                0.83611,                0.57549,                0.89528,                0.72083,                 1.2973,                0.00934,                0.00934,                0.00934
                     11,                0.93616,                0.96923,                 1.3079,                0.85993,                0.76672,                0.84822,                0.57886,                0.88945,                 0.7144,                 1.2829,              0.0092575,              0.0092575,              0.0092575
                     12,                0.92588,                0.93736,                 1.3045,                0.89431,                  0.783,                0.91067,                0.57519,                0.92309,                0.69485,                  1.298,               0.009175,               0.009175,               0.009175
                     13,                0.91211,                0.91208,                 1.2941,                0.88865,                0.79392,                0.85243,                0.57972,                0.87272,                0.66016,                 1.2859,              0.0090925,              0.0090925,              0.0090925
                     14,                0.90058,                0.89541,                 1.2905,                0.93631,                0.81028,                0.92781,                0.60017,                0.87682,                0.64503,                 1.2756,                0.00901,                0.00901,                0.00901
