                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0894,                 3.4389,                 1.3144,                0.67928,                0.33039,                0.39134,                0.26488,                 1.0633,                 2.4426,                 1.3178,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.0847,                 2.3116,                 1.3021,                0.64229,                0.47658,                0.52739,                0.32746,                 1.1485,                 1.6463,                 1.3721,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.1503,                  1.985,                 1.3755,                0.64818,                0.48128,                0.54238,                0.33959,                 1.1321,                 1.5232,                 1.4143,              0.0098336,              0.0098336,              0.0098336
                      4,                 1.1756,                 1.7666,                 1.4187,                0.69527,                0.52317,                0.60294,                0.38996,                  1.056,                 1.2543,                 1.3679,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.1177,                 1.5539,                 1.3825,                  0.743,                0.56227,                0.65713,                0.42117,                 1.0518,                 1.1927,                 1.3613,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.0666,                 1.3971,                 1.3595,                0.77367,                0.63257,                0.71227,                0.46265,                 1.0277,                 1.0231,                 1.3456,                0.00967,                0.00967,                0.00967
                      7,                  1.051,                  1.321,                 1.3484,                0.71442,                0.72398,                0.75432,                0.49448,                 1.0164,                 1.0185,                 1.3461,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.0342,                 1.2525,                 1.3363,                  0.854,                 0.6404,                0.75331,                0.48303,                0.99638,                0.96261,                 1.3245,               0.009505,               0.009505,               0.009505
                      9,                 1.0155,                 1.1932,                 1.3315,                0.76872,                0.72999,                0.77821,                0.50952,                 0.9491,                0.88827,                 1.2944,              0.0094225,              0.0094225,              0.0094225
                     10,                0.99226,                 1.1428,                 1.3159,                0.83981,                0.73813,                0.80697,                 0.5475,                0.92521,                0.82795,                 1.2938,                0.00934,                0.00934,                0.00934
                     11,                0.98547,                  1.117,                 1.3072,                0.82693,                 0.7421,                0.82127,                0.53298,                0.95733,                0.83339,                 1.2935,              0.0092575,              0.0092575,              0.0092575
                     12,                0.97364,                  1.083,                  1.304,                0.84684,                0.76365,                0.81992,                0.54292,                0.91951,                 0.8142,                 1.2851,               0.009175,               0.009175,               0.009175
                     13,                0.95928,                 1.0553,                 1.2954,                0.85071,                 0.7747,                0.83952,                 0.5608,                0.91228,                0.77529,                 1.2743,              0.0090925,              0.0090925,              0.0090925
                     14,                0.95087,                 1.0366,                 1.2931,                0.87627,                0.74707,                0.85494,                0.54487,                0.89568,                0.76037,                 1.2701,                0.00901,                0.00901,                0.00901
                     15,                0.93927,                 1.0169,                 1.2877,                0.84099,                0.76643,                0.85684,                0.56115,                0.89171,                0.75452,                 1.2627,              0.0089275,              0.0089275,              0.0089275
                     16,                0.94475,                0.99416,                 1.2848,                0.87256,                0.80535,                0.84741,                0.57926,                0.88941,                0.71005,                 1.2546,               0.008845,               0.008845,               0.008845
                     17,                0.93058,                0.97031,                 1.2728,                0.90061,                0.76325,                0.86582,                0.58644,                0.87378,                 0.7107,                 1.2453,              0.0087625,              0.0087625,              0.0087625
                     18,                0.92545,                0.96121,                 1.2728,                0.89141,                0.80003,                0.91866,                0.59922,                0.87977,                0.68677,                 1.2532,                0.00868,                0.00868,                0.00868
                     19,                0.92751,                0.94687,                 1.2685,                0.91026,                0.78417,                0.91362,                0.60923,                 0.8753,                 0.6584,                 1.2388,              0.0085975,              0.0085975,              0.0085975
                     20,                0.90702,                0.93463,                 1.2593,                0.88819,                0.80622,                0.84272,                0.58248,                0.86011,                0.65279,                 1.2343,               0.008515,               0.008515,               0.008515
                     21,                 0.9075,                 0.9149,                 1.2604,                0.91563,                0.79879,                0.88797,                0.59301,                0.85907,                0.65839,                 1.2403,              0.0084325,              0.0084325,              0.0084325
                     22,                0.90178,                0.89887,                 1.2577,                0.90689,                0.79992,                0.88166,                0.60724,                0.84851,                0.64525,                 1.2337,                0.00835,                0.00835,                0.00835
                     23,                0.89941,                0.88881,                 1.2562,                0.93271,                0.80314,                0.89808,                0.60669,                0.85922,                0.63727,                 1.2365,              0.0082675,              0.0082675,              0.0082675
                     24,                0.89129,                0.88736,                 1.2545,                0.92275,                0.80524,                0.93347,                0.61139,                0.85076,                0.63035,                  1.232,               0.008185,               0.008185,               0.008185
                     25,                0.89041,                0.87076,                 1.2506,                0.93052,                0.80619,                0.93808,                0.62814,                0.84477,                0.61532,                 1.2282,              0.0081025,              0.0081025,              0.0081025
                     26,                0.88929,                0.87101,                 1.2495,                0.91822,                0.80579,                0.90078,                0.61171,                0.85331,                0.62824,                 1.2292,                0.00802,                0.00802,                0.00802
                     27,                0.87813,                0.85473,                  1.245,                0.92903,                0.82081,                0.90456,                0.62034,                0.83564,                0.61405,                 1.2266,              0.0079375,              0.0079375,              0.0079375
                     28,                0.87764,                0.85318,                 1.2455,                0.92409,                0.82487,                0.88342,                0.60681,                0.83157,                0.59982,                 1.2227,               0.007855,               0.007855,               0.007855
                     29,                0.87315,                0.83307,                 1.2379,                0.91948,                0.82785,                0.88294,                0.61252,                0.83464,                  0.603,                 1.2219,              0.0077725,              0.0077725,              0.0077725
                     30,                0.87605,                  0.834,                 1.2393,                0.92843,                0.81058,                0.89325,                0.61122,                0.84242,                0.59408,                 1.2241,                0.00769,                0.00769,                0.00769
                     31,                0.86956,                0.83544,                 1.2422,                0.92841,                0.81324,                0.94403,                0.62955,                0.81599,                 0.5834,                  1.214,              0.0076075,              0.0076075,              0.0076075
                     32,                 0.8718,                0.82083,                 1.2352,                0.93992,                0.80558,                0.93995,                0.61909,                0.82654,                0.58951,                 1.2114,               0.007525,               0.007525,               0.007525
                     33,                0.85836,                0.81452,                 1.2335,                0.90309,                0.81822,                0.93728,                0.62282,                0.82401,                0.58106,                 1.2111,              0.0074425,              0.0074425,              0.0074425
                     34,                 0.8632,                0.80568,                  1.232,                0.90711,                0.81617,                0.90205,                0.61411,                0.82935,                0.57657,                 1.2115,                0.00736,                0.00736,                0.00736
                     35,                0.86049,                0.80232,                  1.229,                0.91732,                0.82048,                0.90766,                0.62613,                0.83185,                0.57604,                 1.2122,              0.0072775,              0.0072775,              0.0072775
                     36,                0.85526,                 0.7963,                  1.232,                 0.9309,                0.82618,                 0.8945,                0.62778,                0.82755,                0.56834,                 1.2122,               0.007195,               0.007195,               0.007195
                     37,                0.85336,                0.78827,                 1.2259,                0.93373,                0.82347,                0.87999,                0.62433,                0.83379,                0.56675,                 1.2137,              0.0071125,              0.0071125,              0.0071125
                     38,                0.84776,                0.78803,                 1.2229,                0.92657,                0.81307,                0.88571,                0.61761,                0.81962,                0.56963,                 1.2119,                0.00703,                0.00703,                0.00703
                     39,                0.83941,                0.78452,                 1.2211,                0.91676,                0.82473,                0.88923,                0.62386,                0.81391,                0.56203,                 1.2093,              0.0069475,              0.0069475,              0.0069475
                     40,                0.83452,                0.77164,                 1.2174,                0.92283,                0.83044,                0.88568,                0.62301,                0.81871,                 0.5588,                 1.2094,               0.006865,               0.006865,               0.006865
